N1;P1;P2;N3;P3;AP;N1_prev1;P1_prev1;P2_prev1;N3_prev1;P3_prev1;N1_prev2;P1_prev2;P2_prev2;N3_prev2;P3_prev2;N1_prev3;P1_prev3;P2_prev3;N3_prev3;P3_prev3
1.5074e-06;-0.000452509;7.49248356e-05;-0.00100449;0.000561166;0.0;5.8093e-06;2.89047e-05;6.67299391e-05;5.1324e-06;-5.7873e-05;7.1771e-06;2.69525e-05;6.83090038e-05;5.1433e-06;-5.71e-05;7.836e-07;5.3078e-06;6.58391727e-05;9.247e-06;-5.8911e-05
6.5519e-06;2.93473e-05;7.15869173e-05;4.9753e-06;-7.6818e-05;0.0;1.5074e-06;-0.000452509;7.49248356e-05;-0.00100449;0.000561166;5.8093e-06;2.89047e-05;6.67299391e-05;5.1324e-06;-5.7873e-05;7.1771e-06;2.69525e-05;6.83090038e-05;5.1433e-06;-5.71e-05
2.79134e-05;2.94323e-05;7.26955623e-05;6.3007e-06;-6.7765e-05;0.0;6.5519e-06;2.93473e-05;7.15869173e-05;4.9753e-06;-7.6818e-05;1.5074e-06;-0.000452509;7.49248356e-05;-0.00100449;0.000561166;5.8093e-06;2.89047e-05;6.67299391e-05;5.1324e-06;-5.7873e-05
1.86089e-05;1.14926e-05;5.19936439e-05;8.4343e-06;-4.6756e-05;0.0;2.79134e-05;2.94323e-05;7.26955623e-05;6.3007e-06;-6.7765e-05;6.5519e-06;2.93473e-05;7.15869173e-05;4.9753e-06;-7.6818e-05;1.5074e-06;-0.000452509;7.49248356e-05;-0.00100449;0.000561166
3.8099e-05;4.2882e-06;5.49506694e-05;3.4056e-06;-5.2905e-05;0.0;1.86089e-05;1.14926e-05;5.19936439e-05;8.4343e-06;-4.6756e-05;2.79134e-05;2.94323e-05;7.26955623e-05;6.3007e-06;-6.7765e-05;6.5519e-06;2.93473e-05;7.15869173e-05;4.9753e-06;-7.6818e-05
3.09806e-05;7.3932e-06;4.78085531e-05;1.11505e-05;-3.2282e-05;0.0;3.8099e-05;4.2882e-06;5.49506694e-05;3.4056e-06;-5.2905e-05;1.86089e-05;1.14926e-05;5.19936439e-05;8.4343e-06;-4.6756e-05;2.79134e-05;2.94323e-05;7.26955623e-05;6.3007e-06;-6.7765e-05
2.12639e-05;-2.4483e-06;4.48151623e-05;6.6781e-06;-4.32789e-05;0.0;3.09806e-05;7.3932e-06;4.78085531e-05;1.11505e-05;-3.2282e-05;3.8099e-05;4.2882e-06;5.49506694e-05;3.4056e-06;-5.2905e-05;1.86089e-05;1.14926e-05;5.19936439e-05;8.4343e-06;-4.6756e-05
1.41466e-05;-1.773e-07;3.80325473e-05;1.6144e-06;-3.51893e-05;0.0;2.12639e-05;-2.4483e-06;4.48151623e-05;6.6781e-06;-4.32789e-05;3.09806e-05;7.3932e-06;4.78085531e-05;1.11505e-05;-3.2282e-05;3.8099e-05;4.2882e-06;5.49506694e-05;3.4056e-06;-5.2905e-05
9.2195e-06;5.9897e-06;4.39741198e-05;-0.000216345;-4.4397e-05;0.0;1.41466e-05;-1.773e-07;3.80325473e-05;1.6144e-06;-3.51893e-05;2.12639e-05;-2.4483e-06;4.48151623e-05;6.6781e-06;-4.32789e-05;3.09806e-05;7.3932e-06;4.78085531e-05;1.11505e-05;-3.2282e-05
1.13458e-05;7.859e-06;4.70580417e-05;-2.7849e-06;-3.81324e-05;0.0;9.2195e-06;5.9897e-06;4.39741198e-05;-0.000216345;-4.4397e-05;1.41466e-05;-1.773e-07;3.80325473e-05;1.6144e-06;-3.51893e-05;2.12639e-05;-2.4483e-06;4.48151623e-05;6.6781e-06;-4.32789e-05
