Time;N1;P1;P2;N3;P3;AP;N1_prev1;P1_prev1;P2_prev1;N3_prev1;P3_prev1;N1_prev2;P1_prev2;P2_prev2;N3_prev2;P3_prev2;N1_prev3;P1_prev3;P2_prev3;N3_prev3;P3_prev3
17.028448;1.6e-05;-6.5e-05;-0.000164;8.1e-05;0.000224;0;2.1e-05;-6.3e-05;-0.000163;8.9e-05;0.000226;1.7e-05;-6.3e-05;-0.000165;8.7e-05;0.000231;1.8e-05;-6.6e-05;-0.000173;9.1e-05;0.000243
20.156563;1.8e-05;-6.5e-05;-0.000162;8.1e-05;0.00022;0;1.6e-05;-6.5e-05;-0.000164;8.1e-05;0.000224;2.1e-05;-6.3e-05;-0.000163;8.9e-05;0.000226;1.7e-05;-6.3e-05;-0.000165;8.7e-05;0.000231
23.273133;1.6e-05;-6.2e-05;-0.000159;7.8e-05;0.000216;0;1.8e-05;-6.5e-05;-0.000162;8.1e-05;0.00022;1.6e-05;-6.5e-05;-0.000164;8.1e-05;0.000224;2.1e-05;-6.3e-05;-0.000163;8.9e-05;0.000226
26.395104;1.4e-05;-5.6e-05;-0.000153;7.8e-05;0.000211;0;1.6e-05;-6.2e-05;-0.000159;7.8e-05;0.000216;1.8e-05;-6.5e-05;-0.000162;8.1e-05;0.00022;1.6e-05;-6.5e-05;-0.000164;8.1e-05;0.000224
29.525581;1e-05;-5.5e-05;-0.000149;7.4e-05;0.000201;0;1.4e-05;-5.6e-05;-0.000153;7.8e-05;0.000211;1.6e-05;-6.2e-05;-0.000159;7.8e-05;0.000216;1.8e-05;-6.5e-05;-0.000162;8.1e-05;0.00022
32.641119;7e-06;-6.3e-05;-0.000154;7.3e-05;0.000201;0;1e-05;-5.5e-05;-0.000149;7.4e-05;0.000201;1.4e-05;-5.6e-05;-0.000153;7.8e-05;0.000211;1.6e-05;-6.2e-05;-0.000159;7.8e-05;0.000216
35.757616;1.3e-05;-6.5e-05;-0.000154;7.3e-05;0.0002;0;7e-06;-6.3e-05;-0.000154;7.3e-05;0.000201;1e-05;-5.5e-05;-0.000149;7.4e-05;0.000201;1.4e-05;-5.6e-05;-0.000153;7.8e-05;0.000211
38.865055;9e-06;-6.5e-05;-0.000152;6.8e-05;0.000197;0;1.3e-05;-6.5e-05;-0.000154;7.3e-05;0.0002;7e-06;-6.3e-05;-0.000154;7.3e-05;0.000201;1e-05;-5.5e-05;-0.000149;7.4e-05;0.000201
41.959095;1.1e-05;-6e-05;-0.000147;6.6e-05;0.000189;0;9e-06;-6.5e-05;-0.000152;6.8e-05;0.000197;1.3e-05;-6.5e-05;-0.000154;7.3e-05;0.0002;7e-06;-6.3e-05;-0.000154;7.3e-05;0.000201
45.074077;1e-05;-6.2e-05;-0.000146;6.5e-05;0.000187;0;1.1e-05;-6e-05;-0.000147;6.6e-05;0.000189;9e-06;-6.5e-05;-0.000152;6.8e-05;0.000197;1.3e-05;-6.5e-05;-0.000154;7.3e-05;0.0002
48.189468;1.2e-05;-6.2e-05;-0.000145;6.3e-05;0.000184;0;1e-05;-6.2e-05;-0.000146;6.5e-05;0.000187;1.1e-05;-6e-05;-0.000147;6.6e-05;0.000189;9e-06;-6.5e-05;-0.000152;6.8e-05;0.000197
51.28888;1.2e-05;-6.1e-05;-0.000143;6.4e-05;0.000181;0;1.2e-05;-6.2e-05;-0.000145;6.3e-05;0.000184;1e-05;-6.2e-05;-0.000146;6.5e-05;0.000187;1.1e-05;-6e-05;-0.000147;6.6e-05;0.000189
54.407261;1.3e-05;-5.9e-05;-0.00014;6.5e-05;0.000179;0;1.2e-05;-6.1e-05;-0.000143;6.4e-05;0.000181;1.2e-05;-6.2e-05;-0.000145;6.3e-05;0.000184;1e-05;-6.2e-05;-0.000146;6.5e-05;0.000187
57.496381;9e-06;-6e-05;-0.000139;6.3e-05;0.000175;0;1.3e-05;-5.9e-05;-0.00014;6.5e-05;0.000179;1.2e-05;-6.1e-05;-0.000143;6.4e-05;0.000181;1.2e-05;-6.2e-05;-0.000145;6.3e-05;0.000184
60.596247;9e-06;-5.9e-05;-0.000137;6e-05;0.000173;0;9e-06;-6e-05;-0.000139;6.3e-05;0.000175;1.3e-05;-5.9e-05;-0.00014;6.5e-05;0.000179;1.2e-05;-6.1e-05;-0.000143;6.4e-05;0.000181
63.721476;1.4e-05;-5.3e-05;-0.000134;6.1e-05;0.000174;0;9e-06;-5.9e-05;-0.000137;6e-05;0.000173;9e-06;-6e-05;-0.000139;6.3e-05;0.000175;1.3e-05;-5.9e-05;-0.00014;6.5e-05;0.000179
66.824937;1.8e-05;-5.4e-05;-0.000131;6.2e-05;0.000166;0;1.4e-05;-5.3e-05;-0.000134;6.1e-05;0.000174;9e-06;-5.9e-05;-0.000137;6e-05;0.000173;9e-06;-6e-05;-0.000139;6.3e-05;0.000175
69.926452;1.3e-05;-5.7e-05;-0.000131;5.9e-05;0.000165;0;1.8e-05;-5.4e-05;-0.000131;6.2e-05;0.000166;1.4e-05;-5.3e-05;-0.000134;6.1e-05;0.000174;9e-06;-5.9e-05;-0.000137;6e-05;0.000173
73.049353;1.6e-05;-5.9e-05;-0.000132;6e-05;0.000164;0;1.3e-05;-5.7e-05;-0.000131;5.9e-05;0.000165;1.8e-05;-5.4e-05;-0.000131;6.2e-05;0.000166;1.4e-05;-5.3e-05;-0.000134;6.1e-05;0.000174
76.167885;1.2e-05;-5.8e-05;-0.00013;5.7e-05;0.000163;0;1.6e-05;-5.9e-05;-0.000132;6e-05;0.000164;1.3e-05;-5.7e-05;-0.000131;5.9e-05;0.000165;1.8e-05;-5.4e-05;-0.000131;6.2e-05;0.000166
79.244102;1.6e-05;-5.8e-05;-0.000128;6.3e-05;0.000158;0;1.2e-05;-5.8e-05;-0.00013;5.7e-05;0.000163;1.6e-05;-5.9e-05;-0.000132;6e-05;0.000164;1.3e-05;-5.7e-05;-0.000131;5.9e-05;0.000165
82.351848;1.3e-05;-5.2e-05;-0.000123;5.6e-05;0.000153;0;1.6e-05;-5.8e-05;-0.000128;6.3e-05;0.000158;1.2e-05;-5.8e-05;-0.00013;5.7e-05;0.000163;1.6e-05;-5.9e-05;-0.000132;6e-05;0.000164
85.501384;7e-06;-5e-05;-0.000119;5.1e-05;0.000149;0;1.3e-05;-5.2e-05;-0.000123;5.6e-05;0.000153;1.6e-05;-5.8e-05;-0.000128;6.3e-05;0.000158;1.2e-05;-5.8e-05;-0.00013;5.7e-05;0.000163
88.629465;1.1e-05;-5e-05;-0.000118;5.3e-05;0.000147;0;7e-06;-5e-05;-0.000119;5.1e-05;0.000149;1.3e-05;-5.2e-05;-0.000123;5.6e-05;0.000153;1.6e-05;-5.8e-05;-0.000128;6.3e-05;0.000158
91.733912;1e-05;-4.7e-05;-0.000115;4.9e-05;0.000143;0;1.1e-05;-5e-05;-0.000118;5.3e-05;0.000147;7e-06;-5e-05;-0.000119;5.1e-05;0.000149;1.3e-05;-5.2e-05;-0.000123;5.6e-05;0.000153
94.855163;3e-06;-3.2e-05;-0.000101;4.7e-05;0.000132;0;1e-05;-4.7e-05;-0.000115;4.9e-05;0.000143;1.1e-05;-5e-05;-0.000118;5.3e-05;0.000147;7e-06;-5e-05;-0.000119;5.1e-05;0.000149
97.975963;4.5e-05;2.8e-05;-1.6e-05;-0.000353;0.000382;3;3e-06;-3.2e-05;-0.000101;4.7e-05;0.000132;1e-05;-4.7e-05;-0.000115;4.9e-05;0.000143;1.1e-05;-5e-05;-0.000118;5.3e-05;0.000147
101.096074;7e-06;4.1e-05;2e-06;-0.000145;0.000655;3;4.5e-05;2.8e-05;-1.6e-05;-0.000353;0.000382;3e-06;-3.2e-05;-0.000101;4.7e-05;0.000132;1e-05;-4.7e-05;-0.000115;4.9e-05;0.000143
104.219493;1.6e-05;4.9e-05;3e-05;-0.000181;0.000817;3;7e-06;4.1e-05;2e-06;-0.000145;0.000655;4.5e-05;2.8e-05;-1.6e-05;-0.000353;0.000382;3e-06;-3.2e-05;-0.000101;4.7e-05;0.000132
107.328218;2.3e-05;6.7e-05;6.1e-05;-0.000221;0.000949;3;1.6e-05;4.9e-05;3e-05;-0.000181;0.000817;7e-06;4.1e-05;2e-06;-0.000145;0.000655;4.5e-05;2.8e-05;-1.6e-05;-0.000353;0.000382
110.433797;8e-06;0.000105;0.000102;-0.000268;0.00105;3;2.3e-05;6.7e-05;6.1e-05;-0.000221;0.000949;1.6e-05;4.9e-05;3e-05;-0.000181;0.000817;7e-06;4.1e-05;2e-06;-0.000145;0.000655
113.44213;2.3e-05;4.6e-05;8e-06;-0.000223;0.000871;3;8e-06;0.000105;0.000102;-0.000268;0.00105;2.3e-05;6.7e-05;6.1e-05;-0.000221;0.000949;1.6e-05;4.9e-05;3e-05;-0.000181;0.000817
116.545544;2.5e-05;2.3e-05;-4e-05;-0.000134;0.000841;0;2.3e-05;4.6e-05;8e-06;-0.000223;0.000871;8e-06;0.000105;0.000102;-0.000268;0.00105;2.3e-05;6.7e-05;6.1e-05;-0.000221;0.000949
119.63947;2.7e-05;8e-06;-7e-05;-8.4e-05;0.00081;0;2.5e-05;2.3e-05;-4e-05;-0.000134;0.000841;2.3e-05;4.6e-05;8e-06;-0.000223;0.000871;8e-06;0.000105;0.000102;-0.000268;0.00105
122.735188;2.1e-05;2e-06;-9.2e-05;-6e-05;0.00075;0;2.7e-05;8e-06;-7e-05;-8.4e-05;0.00081;2.5e-05;2.3e-05;-4e-05;-0.000134;0.000841;2.3e-05;4.6e-05;8e-06;-0.000223;0.000871
125.857038;2e-05;-3e-06;-0.000106;-3.9e-05;0.000703;0;2.1e-05;2e-06;-9.2e-05;-6e-05;0.00075;2.7e-05;8e-06;-7e-05;-8.4e-05;0.00081;2.5e-05;2.3e-05;-4e-05;-0.000134;0.000841
128.961574;1.5e-05;-3e-06;-0.000113;-2.8e-05;0.000642;0;2e-05;-3e-06;-0.000106;-3.9e-05;0.000703;2.1e-05;2e-06;-9.2e-05;-6e-05;0.00075;2.7e-05;8e-06;-7e-05;-8.4e-05;0.00081
132.069607;1.4e-05;-7e-06;-0.000122;-1.7e-05;0.000604;0;1.5e-05;-3e-06;-0.000113;-2.8e-05;0.000642;2e-05;-3e-06;-0.000106;-3.9e-05;0.000703;2.1e-05;2e-06;-9.2e-05;-6e-05;0.00075
135.162581;1.3e-05;-1e-05;-0.000127;-5e-06;0.000566;0;1.4e-05;-7e-06;-0.000122;-1.7e-05;0.000604;1.5e-05;-3e-06;-0.000113;-2.8e-05;0.000642;2e-05;-3e-06;-0.000106;-3.9e-05;0.000703
138.268998;1.6e-05;-1.7e-05;-0.000135;8e-06;0.000535;0;1.3e-05;-1e-05;-0.000127;-5e-06;0.000566;1.4e-05;-7e-06;-0.000122;-1.7e-05;0.000604;1.5e-05;-3e-06;-0.000113;-2.8e-05;0.000642
141.37316;1.4e-05;-1.1e-05;-0.00013;8e-06;0.000493;0;1.6e-05;-1.7e-05;-0.000135;8e-06;0.000535;1.3e-05;-1e-05;-0.000127;-5e-06;0.000566;1.4e-05;-7e-06;-0.000122;-1.7e-05;0.000604
144.50592;1.4e-05;3.4e-05;-9.9e-05;2e-06;0.001061;3;1.4e-05;-1.1e-05;-0.00013;8e-06;0.000493;1.6e-05;-1.7e-05;-0.000135;8e-06;0.000535;1.3e-05;-1e-05;-0.000127;-5e-06;0.000566
147.611473;1.3e-05;4.4e-05;-0.000106;-2.6e-05;0.00153;3;1.4e-05;3.4e-05;-9.9e-05;2e-06;0.001061;1.4e-05;-1.1e-05;-0.00013;8e-06;0.000493;1.6e-05;-1.7e-05;-0.000135;8e-06;0.000535
150.718384;1e-05;4.9e-05;-8.2e-05;-9.8e-05;0.00178;3;1.3e-05;4.4e-05;-0.000106;-2.6e-05;0.00153;1.4e-05;3.4e-05;-9.9e-05;2e-06;0.001061;1.4e-05;-1.1e-05;-0.00013;8e-06;0.000493
153.83578;1.4e-05;6.4e-05;-6.8e-05;-5.7e-05;0.001983;3;1e-05;4.9e-05;-8.2e-05;-9.8e-05;0.00178;1.3e-05;4.4e-05;-0.000106;-2.6e-05;0.00153;1.4e-05;3.4e-05;-9.9e-05;2e-06;0.001061
156.929133;1.7e-05;7e-05;-5.6e-05;-6.7e-05;0.002115;3;1.4e-05;6.4e-05;-6.8e-05;-5.7e-05;0.001983;1e-05;4.9e-05;-8.2e-05;-9.8e-05;0.00178;1.3e-05;4.4e-05;-0.000106;-2.6e-05;0.00153
160.026704;2e-05;2.9e-05;-9.1e-05;-3.9e-05;0.001702;0;1.7e-05;7e-05;-5.6e-05;-6.7e-05;0.002115;1.4e-05;6.4e-05;-6.8e-05;-5.7e-05;0.001983;1e-05;4.9e-05;-8.2e-05;-9.8e-05;0.00178
163.138541;2.6e-05;1.2e-05;-0.000115;-3.1e-05;0.001361;0;2e-05;2.9e-05;-9.1e-05;-3.9e-05;0.001702;1.7e-05;7e-05;-5.6e-05;-6.7e-05;0.002115;1.4e-05;6.4e-05;-6.8e-05;-5.7e-05;0.001983
166.263338;2.4e-05;1e-06;-0.000133;-2.9e-05;0.001154;0;2.6e-05;1.2e-05;-0.000115;-3.1e-05;0.001361;2e-05;2.9e-05;-9.1e-05;-3.9e-05;0.001702;1.7e-05;7e-05;-5.6e-05;-6.7e-05;0.002115
169.360198;2.3e-05;-9e-06;-0.000148;-2e-05;0.001016;0;2.4e-05;1e-06;-0.000133;-2.9e-05;0.001154;2.6e-05;1.2e-05;-0.000115;-3.1e-05;0.001361;2e-05;2.9e-05;-9.1e-05;-3.9e-05;0.001702
172.461511;2e-05;-8e-06;-0.000152;-1.7e-05;0.000897;0;2.3e-05;-9e-06;-0.000148;-2e-05;0.001016;2.4e-05;1e-06;-0.000133;-2.9e-05;0.001154;2.6e-05;1.2e-05;-0.000115;-3.1e-05;0.001361
175.574698;2e-05;4.2e-05;-6.2e-05;-1.3e-05;0.001055;3;2e-05;-8e-06;-0.000152;-1.7e-05;0.000897;2.3e-05;-9e-06;-0.000148;-2e-05;0.001016;2.4e-05;1e-06;-0.000133;-2.9e-05;0.001154
178.692527;3e-05;6.6e-05;-3.4e-05;-8.2e-05;0.001242;3;2e-05;4.2e-05;-6.2e-05;-1.3e-05;0.001055;2e-05;-8e-06;-0.000152;-1.7e-05;0.000897;2.3e-05;-9e-06;-0.000148;-2e-05;0.001016
