N1,P1,P2,N3,P3,N1_prev1,P1_prev1,P2_prev1,N3_prev1,P3_prev1,N1_prev2,P1_prev2,P2_prev2,N3_prev2,P3_prev2,N1_prev3,P1_prev3,P2_prev3,N3_prev3,P3_prev3,AP,Predicted AP,subject
-0.0003461776,0.0001042802,0.000128118947,0.0001054392,-0.000100511,7.3313e-06,7.34937e-05,8.83159373e-05,4.72889e-05,3.0582e-05,9.2688e-06,4.84073e-05,8.61568842e-05,5.1506e-05,-5.487e-06,1.1629e-05,3.35978e-05,0.000127347201,5.38633e-05,-2.9202e-05,1.0,1.0,S1_26C
-0.0003735528,0.0001073034,0.000108823522,0.0001030513,-7.0271e-05,-0.0003461776,0.0001042802,0.000128118947,0.0001054392,-0.000100511,7.3313e-06,7.34937e-05,8.83159373e-05,4.72889e-05,3.0582e-05,9.2688e-06,4.84073e-05,8.61568842e-05,5.1506e-05,-5.487e-06,1.0,1.0,S1_26C
-0.0003720748,0.0001349125,9.66312145e-05,6.75413e-05,-4.7573e-05,-0.0003735528,0.0001073034,0.000108823522,0.0001030513,-7.0271e-05,-0.0003461776,0.0001042802,0.000128118947,0.0001054392,-0.000100511,7.3313e-06,7.34937e-05,8.83159373e-05,4.72889e-05,3.0582e-05,1.0,4.0,S1_26C
-0.000397929,0.0001144018,9.32774201e-05,6.19301e-05,-5.3148e-05,-0.0003720748,0.0001349125,9.66312145e-05,6.75413e-05,-4.7573e-05,-0.0003735528,0.0001073034,0.000108823522,0.0001030513,-7.0271e-05,-0.0003461776,0.0001042802,0.000128118947,0.0001054392,-0.000100511,1.0,4.0,S1_26C
-0.0004023389,0.000121344,-2.32487528e-05,6.0608e-05,-2.9544e-05,-0.000397929,0.0001144018,9.32774201e-05,6.19301e-05,-5.3148e-05,-0.0003720748,0.0001349125,9.66312145e-05,6.75413e-05,-4.7573e-05,-0.0003735528,0.0001073034,0.000108823522,0.0001030513,-7.0271e-05,1.0,8.0,S1_26C
-2.46972e-05,0.0001937477,0.000187665762,9.573e-05,-6.3217e-05,4.65768e-05,0.0001343083,0.000159799602,0.000190434,-7.2678e-05,-1.32329e-05,0.0001663106,0.000111202142,6.37648e-05,-3.7349e-05,-1.49815e-05,0.0001945502,4.07059051e-05,6.44357e-05,-4.9063e-05,2.0,8.0,S1_26C
9.5184e-06,0.0002317567,0.000222818067,0.000139085,-8.0682e-05,-2.46972e-05,0.0001937477,0.000187665762,9.573e-05,-6.3217e-05,4.65768e-05,0.0001343083,0.000159799602,0.000190434,-7.2678e-05,-1.32329e-05,0.0001663106,0.000111202142,6.37648e-05,-3.7349e-05,2.0,8.0,S1_26C
1.64396e-05,0.0001800596,0.000137814699,0.000108327,-8.6832e-05,9.5184e-06,0.0002317567,0.000222818067,0.000139085,-8.0682e-05,-2.46972e-05,0.0001937477,0.000187665762,9.573e-05,-6.3217e-05,4.65768e-05,0.0001343083,0.000159799602,0.000190434,-7.2678e-05,2.0,8.0,S1_26C
-8.03645e-05,0.0002635177,0.000259099295,-1.0356e-05,3.069e-06,1.64396e-05,0.0001800596,0.000137814699,0.000108327,-8.6832e-05,9.5184e-06,0.0002317567,0.000222818067,0.000139085,-8.0682e-05,-2.46972e-05,0.0001937477,0.000187665762,9.573e-05,-6.3217e-05,2.0,8.0,S1_26C
-6.4591e-05,0.0002729051,0.000293464051,2.2025e-05,-1.0577e-05,-8.03645e-05,0.0002635177,0.000259099295,-1.0356e-05,3.069e-06,1.64396e-05,0.0001800596,0.000137814699,0.000108327,-8.6832e-05,9.5184e-06,0.0002317567,0.000222818067,0.000139085,-8.0682e-05,2.0,8.0,S1_26C
5.42103e-05,0.0001623004,6.96620409e-05,0.000118374,-0.000140134,7.4666e-06,0.0001780875,8.9858062e-05,6.09723e-05,-0.000122889,9.3684e-06,0.0002511345,0.000114590694,6.7658e-05,-7.525e-05,1.37374e-05,0.0003023426,0.000135792827,7.70349e-05,-9.7176e-05,2.0,0.0,S1_26C
5.66449e-05,0.0001545096,7.86106393e-05,0.000120041,-0.000138169,5.42103e-05,0.0001623004,6.96620409e-05,0.000118374,-0.000140134,7.4666e-06,0.0001780875,8.9858062e-05,6.09723e-05,-0.000122889,9.3684e-06,0.0002511345,0.000114590694,6.7658e-05,-7.525e-05,2.0,0.0,S1_26C
6.00436e-05,0.0001660725,5.67456809e-05,0.000133488,-0.000147233,5.66449e-05,0.0001545096,7.86106393e-05,0.000120041,-0.000138169,5.42103e-05,0.0001623004,6.96620409e-05,0.000118374,-0.000140134,7.4666e-06,0.0001780875,8.9858062e-05,6.09723e-05,-0.000122889,2.0,0.0,S1_26C
5.87387e-05,0.0001577583,6.60661535e-05,0.000136314,-0.000152808,6.00436e-05,0.0001660725,5.67456809e-05,0.000133488,-0.000147233,5.66449e-05,0.0001545096,7.86106393e-05,0.000120041,-0.000138169,5.42103e-05,0.0001623004,6.96620409e-05,0.000118374,-0.000140134,2.0,0.0,S1_26C
7.85529e-05,-0.0001654297,-0.000578036765,0.000322265,-0.000183191,-1.02989e-05,0.0001472223,9.33950359e-05,6.70374e-05,-4.3167e-05,-8.8293e-06,0.000161951,7.70789193e-05,7.83002e-05,-5.6316e-05,-1.16426e-05,0.0001683488,-4.10289904e-05,7.50234e-05,-7.2148e-05,3.0,2.0,S1_26C
7.65063e-05,-0.0001732624,-0.000622189604,0.000254589,-0.000193547,7.85529e-05,-0.0001654297,-0.000578036765,0.000322265,-0.000183191,-1.02989e-05,0.0001472223,9.33950359e-05,6.70374e-05,-4.3167e-05,-8.8293e-06,0.000161951,7.70789193e-05,7.83002e-05,-5.6316e-05,3.0,2.0,S1_26C
8.06991e-05,-0.0001700064,-0.000674714625,0.000228578,-0.000299776,7.65063e-05,-0.0001732624,-0.000622189604,0.000254589,-0.000193547,7.85529e-05,-0.0001654297,-0.000578036765,0.000322265,-0.000183191,-1.02989e-05,0.0001472223,9.33950359e-05,6.70374e-05,-4.3167e-05,3.0,2.0,S1_26C
9.5773e-05,-0.000183877,-0.000635345059,0.00044447,-0.000340636,8.06991e-05,-0.0001700064,-0.000674714625,0.000228578,-0.000299776,7.65063e-05,-0.0001732624,-0.000622189604,0.000254589,-0.000193547,7.85529e-05,-0.0001654297,-0.000578036765,0.000322265,-0.000183191,3.0,2.0,S1_26C
-4.48617e-05,0.0002876034,0.000248421042,0.0002024985,-0.000249742,-2.3581e-06,0.0002739131,0.000204035692,6.66927e-05,-0.00016259,-2.2396e-06,0.0002028938,8.17180844e-05,6.35903e-05,-4.4194e-05,-1.6563e-06,0.0002256737,0.000122584635,6.77017e-05,-5.3645e-05,4.0,8.0,S1_26C
1.44749e-05,0.0002993131,0.000316736026,0.0003066714,-0.000249532,-4.48617e-05,0.0002876034,0.000248421042,0.0002024985,-0.000249742,-2.3581e-06,0.0002739131,0.000204035692,6.66927e-05,-0.00016259,-2.2396e-06,0.0002028938,8.17180844e-05,6.35903e-05,-4.4194e-05,4.0,8.0,S1_26C
2.87641e-05,0.0003269968,0.000295479782,0.0003013874,-0.000305915,1.44749e-05,0.0002993131,0.000316736026,0.0003066714,-0.000249532,-4.48617e-05,0.0002876034,0.000248421042,0.0002024985,-0.000249742,-2.3581e-06,0.0002739131,0.000204035692,6.66927e-05,-0.00016259,4.0,6.0,S1_26C
2.6213e-05,0.0003348201,0.00037081886,0.0003010929,-0.000343551,2.87641e-05,0.0003269968,0.000295479782,0.0003013874,-0.000305915,1.44749e-05,0.0002993131,0.000316736026,0.0003066714,-0.000249532,-4.48617e-05,0.0002876034,0.000248421042,0.0002024985,-0.000249742,4.0,8.0,S1_26C
2.35528e-05,0.000313703,0.000336228375,0.0003028055,-0.000282311,2.6213e-05,0.0003348201,0.00037081886,0.0003010929,-0.000343551,2.87641e-05,0.0003269968,0.000295479782,0.0003013874,-0.000305915,1.44749e-05,0.0002993131,0.000316736026,0.0003066714,-0.000249532,4.0,8.0,S1_26C
3.98308e-05,0.0002945917,0.000345191627,0.0003288405,-0.000329817,2.35528e-05,0.000313703,0.000336228375,0.0003028055,-0.000282311,2.6213e-05,0.0003348201,0.00037081886,0.0003010929,-0.000343551,2.87641e-05,0.0003269968,0.000295479782,0.0003013874,-0.000305915,4.0,0.0,S1_26C
-6.16412e-05,0.0001578957,0.000221548282,0.0001128525,-0.000101228,-7.19601e-05,0.0001651934,0.000242338327,0.0001271141,-9.3246e-05,-0.0001040905,0.0001410186,0.000210183993,6.44346e-05,-8.3464e-05,-0.0001284772,0.0001272099,7.02004108e-05,6.18712e-05,-3.768e-05,5.0,8.0,S1_26C
-4.74999e-05,0.0001369182,0.000241530783,0.0001198797,-0.000129337,-6.16412e-05,0.0001578957,0.000221548282,0.0001128525,-0.000101228,-7.19601e-05,0.0001651934,0.000242338327,0.0001271141,-9.3246e-05,-0.0001040905,0.0001410186,0.000210183993,6.44346e-05,-8.3464e-05,5.0,8.0,S1_26C
-4.24113e-05,0.0001242916,0.000242640017,0.0001152316,-0.000125738,-4.74999e-05,0.0001369182,0.000241530783,0.0001198797,-0.000129337,-6.16412e-05,0.0001578957,0.000221548282,0.0001128525,-0.000101228,-7.19601e-05,0.0001651934,0.000242338327,0.0001271141,-9.3246e-05,5.0,8.0,S1_26C
-1.7905e-05,0.0001307239,0.000242887996,0.0001586796,-0.000144219,-4.24113e-05,0.0001242916,0.000242640017,0.0001152316,-0.000125738,-4.74999e-05,0.0001369182,0.000241530783,0.0001198797,-0.000129337,-6.16412e-05,0.0001578957,0.000221548282,0.0001128525,-0.000101228,5.0,8.0,S1_26C
-2.2895e-05,0.0001449712,0.00022495506,0.0001242386,-0.000124821,-1.7905e-05,0.0001307239,0.000242887996,0.0001586796,-0.000144219,-4.24113e-05,0.0001242916,0.000242640017,0.0001152316,-0.000125738,-4.74999e-05,0.0001369182,0.000241530783,0.0001198797,-0.000129337,5.0,8.0,S1_26C
3.73888e-05,-0.0006194098,-3.05716167e-05,0.000123463,-0.00021162,1.84327e-05,-0.0004207047,1.95747316e-06,6.9123e-05,-0.000211763,-3.0095e-06,0.0001038554,-1.41034707e-05,-1.33246e-05,-3.661e-05,-3.0158e-06,0.0001147648,1.83500633e-05,-3.19397e-05,-7.8872e-05,6.0,3.0,S1_26C
4.75545e-05,-0.00077971,9.20669336e-05,0.000172316,-0.000241815,3.73888e-05,-0.0006194098,-3.05716167e-05,0.000123463,-0.00021162,1.84327e-05,-0.0004207047,1.95747316e-06,6.9123e-05,-0.000211763,-3.0095e-06,0.0001038554,-1.41034707e-05,-1.33246e-05,-3.661e-05,6.0,3.0,S1_26C
4.97416e-05,-0.0004295948,0.000266468734,0.000189175,-7.2833e-05,4.75545e-05,-0.00077971,9.20669336e-05,0.000172316,-0.000241815,3.73888e-05,-0.0006194098,-3.05716167e-05,0.000123463,-0.00021162,1.84327e-05,-0.0004207047,1.95747316e-06,6.9123e-05,-0.000211763,6.0,0.0,S1_26C
3.18995e-05,-0.0007165383,0.000372249284,0.000130915,-0.000183544,4.97416e-05,-0.0004295948,0.000266468734,0.000189175,-7.2833e-05,4.75545e-05,-0.00077971,9.20669336e-05,0.000172316,-0.000241815,3.73888e-05,-0.0006194098,-3.05716167e-05,0.000123463,-0.00021162,6.0,0.0,S1_26C
3.6323e-05,-0.0008296907,0.000146820385,0.000173917,-0.000210626,3.18995e-05,-0.0007165383,0.000372249284,0.000130915,-0.000183544,4.97416e-05,-0.0004295948,0.000266468734,0.000189175,-7.2833e-05,4.75545e-05,-0.00077971,9.20669336e-05,0.000172316,-0.000241815,6.0,0.0,S1_26C
