Time;Volt_n1_V_out;Volt_p1_V_out;Volt_n2_V_out;Volt_n3_V_out;Volt_p2_V_out;Volt_p3_V_out;PVDF1;PVDF2;PVDF3;PVDF4;PVDF5;PVDF6;PVDF7;PVDF8;PVDF9
0.0;-7.8589e-18;-4.7424e-18;-8.7077e-18;-6.622e-18;-5.8442e-18;-2.7596e-18;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.008;-5.112e-15;8.3743e-15;-4.5728e-15;-1.217e-15;7.7087e-15;7.3048e-15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.016;1.4029e-08;1.3952e-09;-4.9569e-08;1.985e-08;6.0943e-09;1.9111e-08;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.032;3.9275e-08;3.8815e-09;-1.3872e-07;5.5529e-08;1.7086e-08;5.3479e-08;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.064;7.74e-08;7.6622e-09;-2.7339e-07;1.0944e-07;3.3638e-08;1.054e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.128;1.4052e-07;1.3905e-08;-4.9629e-07;1.9864e-07;6.1036e-08;1.9129e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.2;2.1728e-07;2.1503e-08;-7.6734e-07;3.0709e-07;9.4329e-08;2.9572e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.16;293.15
0.25;2.7165e-07;2.6867e-08;-9.5928e-07;3.8387e-07;1.1791e-07;3.6967e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.16;293.15
0.3;3.2615e-07;3.2242e-08;-1.1517e-06;4.6082e-07;1.4154e-07;4.4378e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.16;293.15
0.35;3.7997e-07;3.7553e-08;-1.3417e-06;5.3682e-07;1.6487e-07;5.1697e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.16;293.15
0.4;4.3333e-07;4.2816e-08;-1.53e-06;6.1214e-07;1.8798e-07;5.895e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.16;293.15
0.45;4.8651e-07;4.806e-08;-1.7177e-06;6.872e-07;2.1102e-07;6.6179e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.16;293.15
0.5;5.3935e-07;5.3268e-08;-1.9042e-06;7.6177e-07;2.339e-07;7.336e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.16;293.15
0.55;5.9208e-07;5.8466e-08;-2.0903e-06;8.362e-07;2.5674e-07;8.0526e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.16;293.15
0.6;6.4498e-07;6.3679e-08;-2.277e-06;9.1084e-07;2.7964e-07;8.7715e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.17;293.15
0.65;6.9742e-07;6.8843e-08;-2.462e-06;9.8482e-07;3.0234e-07;9.4839e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.17;293.15
0.7;7.4966e-07;7.3989e-08;-2.6464e-06;1.0585e-06;3.2495e-07;1.0194e-06;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.17;293.15
0.75;8.016e-07;7.9101e-08;-2.8297e-06;1.1318e-06;3.4742e-07;1.0899e-06;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.17;293.15
0.8;8.5337e-07;8.4197e-08;-3.0123e-06;1.2048e-06;3.6982e-07;1.1602e-06;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.17;293.15
0.85;9.0488e-07;8.9264e-08;-3.1941e-06;1.2774e-06;3.921e-07;1.2302e-06;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.17;293.15
0.9;9.5617e-07;9.4311e-08;-3.375e-06;1.3498e-06;4.1428e-07;1.2999e-06;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.17;293.15
0.95;1.0072e-06;9.9331e-08;-3.5551e-06;1.4218e-06;4.3636e-07;1.3692e-06;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.17;293.15
1.0;1.058e-06;1.0433e-07;-3.7344e-06;1.4934e-06;4.5833e-07;1.4382e-06;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.18;293.15
1.05;1.1086e-06;1.093e-07;-3.9128e-06;1.5647e-06;4.8018e-07;1.5068e-06;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.18;293.15
1.1;1.1589e-06;1.1424e-07;-4.0903e-06;1.6356e-06;5.0193e-07;1.5751e-06;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.18;293.15
1.15;1.209e-06;1.1916e-07;-4.2668e-06;1.7062e-06;5.2356e-07;1.6431e-06;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.18;293.15
1.2;1.2586e-06;1.2403e-07;-4.4418e-06;1.7761e-06;5.4499e-07;1.7104e-06;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.18;293.15
1.25;1.308e-06;1.2889e-07;-4.616e-06;1.8457e-06;5.6633e-07;1.7774e-06;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.18;293.15
1.3;1.3576e-06;1.3376e-07;-4.791e-06;1.9156e-06;5.8776e-07;1.8448e-06;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.18;293.15
1.35;1.4066e-06;1.3857e-07;-4.964e-06;1.9847e-06;6.0894e-07;1.9113e-06;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.18;293.15
1.4;1.4554e-06;1.4336e-07;-5.1361e-06;2.0535e-06;6.3002e-07;1.9775e-06;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.19;293.15
1.45;1.5038e-06;1.4811e-07;-5.3069e-06;2.1217e-06;6.5092e-07;2.0432e-06;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.19;293.15
1.5;1.5521e-06;1.5285e-07;-5.4769e-06;2.1896e-06;6.7174e-07;2.1086e-06;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.19;293.15
1.55;1.6e-06;1.5754e-07;-5.6458e-06;2.2571e-06;6.9242e-07;2.1736e-06;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.19;293.15
