Time;Temp_PVDF_1;Temp_PVDF_2;Volt_n1_V_out;Volt_p1_V_out;Volt_n2_V_out;Volt_n3_V_out;Volt_p2_V_out;Volt_p3_V_out
0;293.15;293.15;6.14E-18;1.52E-18;1.05E-17;2.82E-18;-1.42E-17;-1.97E-17
0.023;293.15;293.15;-2.32E-15;3.53E-15;-1.72E-15;6.83E-16;1.31E-15;1.49E-15
0.046;293.15;293.15;-1.93E-08;2.56E-07;2.83E-09;-1.58E-08;-2.42E-08;-1.61E-08
0.092;293.15;293.15;-5.40E-08;7.15E-07;8.57E-09;-4.37E-08;-6.74E-08;-4.47E-08
0.15;293.15;293.15;-8.61E-08;1.14E-06;1.32E-08;-7.00E-08;-1.08E-07;-7.17E-08
0.2;293.16;293.16;-1.06E-07;1.40E-06;1.61E-08;-8.63E-08;-1.32E-07;-8.84E-08
0.25;293.16;293.16;-1.30E-07;1.70E-06;1.98E-08;-1.05E-07;-1.62E-07;-1.08E-07
0.3;293.16;293.16;-1.56E-07;2.05E-06;2.39E-08;-1.27E-07;-1.95E-07;-1.30E-07
0.35;293.16;293.16;-1.83E-07;2.41E-06;2.80E-08;-1.49E-07;-2.28E-07;-1.52E-07
0.4;293.16;293.16;-2.09E-07;2.75E-06;3.20E-08;-1.70E-07;-2.61E-07;-1.74E-07
0.45;293.16;293.16;-2.35E-07;3.08E-06;3.60E-08;-1.91E-07;-2.93E-07;-1.96E-07
0.5;293.16;293.16;-2.61E-07;3.42E-06;3.99E-08;-2.12E-07;-3.25E-07;-2.17E-07
0.55;293.16;293.16;-2.86E-07;3.75E-06;4.39E-08;-2.33E-07;-3.57E-07;-2.38E-07
0.6;293.17;293.17;-3.12E-07;4.08E-06;4.79E-08;-2.53E-07;-3.89E-07;-2.60E-07
0.65;293.17;293.17;-3.38E-07;4.42E-06;5.18E-08;-2.74E-07;-4.20E-07;-2.81E-07
0.7;293.17;293.17;-3.63E-07;4.75E-06;5.58E-08;-2.95E-07;-4.52E-07;-3.02E-07
0.75;293.17;293.17;-3.89E-07;5.08E-06;5.97E-08;-3.15E-07;-4.83E-07;-3.23E-07
0.8;293.17;293.17;-4.14E-07;5.40E-06;6.36E-08;-3.36E-07;-5.15E-07;-3.44E-07
0.85;293.17;293.17;-4.39E-07;5.73E-06;6.75E-08;-3.56E-07;-5.46E-07;-3.65E-07
0.9;293.17;293.17;-4.64E-07;6.05E-06;7.14E-08;-3.77E-07;-5.77E-07;-3.86E-07
0.95;293.17;293.17;-4.89E-07;6.38E-06;7.53E-08;-3.97E-07;-6.08E-07;-4.06E-07
1;293.18;293.18;-5.14E-07;6.70E-06;7.92E-08;-4.17E-07;-6.39E-07;-4.27E-07
1.05;293.18;293.18;-5.39E-07;7.02E-06;8.31E-08;-4.37E-07;-6.69E-07;-4.47E-07
1.1;293.18;293.18;-5.64E-07;7.33E-06;8.69E-08;-4.57E-07;-7.00E-07;-4.68E-07
1.15;293.18;293.18;-5.88E-07;7.65E-06;9.08E-08;-4.77E-07;-7.30E-07;-4.88E-07
1.2;293.18;293.18;-6.13E-07;7.96E-06;9.46E-08;-4.97E-07;-7.60E-07;-5.08E-07
1.25;293.18;293.18;-6.37E-07;8.28E-06;9.84E-08;-5.17E-07;-7.90E-07;-5.29E-07
1.3;293.18;293.18;-6.62E-07;8.59E-06;1.02E-07;-5.37E-07;-8.20E-07;-5.49E-07
