Time;Volt_n1_V_out;Volt_p1_V_out;Temp_PVDF_1;Volt_n2_V_out;Volt_n3_V_out;Volt_p2_V_out;Volt_p3_V_out;Volt_n1_ground;Volt_n2_ground;Volt_n3_ground;Volt_p1_ground;Volt_p2_ground;Volt_p3_ground;Temp_PVDF_2
0;5.23E-18;-1.69E-17;293.15;8.45E-18;5.19E-18;-1.15E-17;-1.73E-17;0;0;0;0;0;0;293.15
0.023;-2.39E-15;1.65E-15;293.15;-1.59E-15;9.63E-16;1.11E-15;1.77E-15;0;0;0;0;0;0;293.15
0.046;-2.46E-08;4.54E-08;293.15;-1.98E-08;8.14E-09;2.02E-08;8.72E-09;0;0;0;0;0;0;293.15
0.092;-6.88E-08;1.27E-07;293.15;-5.58E-08;2.34E-08;5.69E-08;2.49E-08;0;0;0;0;0;0;293.15
0.15;-1.10E-07;2.03E-07;293.15;-8.86E-08;3.68E-08;9.04E-08;3.93E-08;0;0;0;0;0;0;293.15
0.2;-1.35E-07;2.49E-07;293.16;-1.09E-07;4.53E-08;1.11E-07;4.84E-08;0;0;0;0;0;0;293.16
0.25;-1.65E-07;3.04E-07;293.16;-1.33E-07;5.53E-08;1.36E-07;5.91E-08;0;0;0;0;0;0;293.16
0.3;-1.99E-07;3.67E-07;293.16;-1.61E-07;6.67E-08;1.64E-07;7.12E-08;0;0;0;0;0;0;293.16
0.35;-2.33E-07;4.30E-07;293.16;-1.88E-07;7.82E-08;1.92E-07;8.35E-08;0;0;0;0;0;0;293.16
0.4;-2.67E-07;4.91E-07;293.16;-2.15E-07;8.94E-08;2.19E-07;9.54E-08;0;0;0;0;0;0;293.16
0.45;-2.99E-07;5.52E-07;293.16;-2.42E-07;1.00E-07;2.46E-07;1.07E-07;0;0;0;0;0;0;293.16
0.5;-3.32E-07;6.12E-07;293.16;-2.68E-07;1.11E-07;2.73E-07;1.19E-07;0;0;0;0;0;0;293.16
0.55;-3.65E-07;6.72E-07;293.16;-2.94E-07;1.22E-07;3.00E-07;1.31E-07;0;0;0;0;0;0;293.16
0.6;-3.97E-07;7.32E-07;293.17;-3.21E-07;1.33E-07;3.26E-07;1.42E-07;0;0;0;0;0;0;293.17
0.65;-4.30E-07;7.92E-07;293.17;-3.47E-07;1.44E-07;3.53E-07;1.54E-07;0;0;0;0;0;0;293.17
0.7;-4.62E-07;8.52E-07;293.17;-3.73E-07;1.55E-07;3.80E-07;1.65E-07;0;0;0;0;0;0;293.17
0.75;-4.94E-07;9.12E-07;293.17;-3.99E-07;1.66E-07;4.06E-07;1.77E-07;0;0;0;0;0;0;293.17
0.8;-5.27E-07;9.71E-07;293.17;-4.25E-07;1.77E-07;4.32E-07;1.88E-07;0;0;0;0;0;0;293.17
0.85;-5.59E-07;1.03E-06;293.17;-4.51E-07;1.88E-07;4.58E-07;2.00E-07;0;0;0;0;0;0;293.17
0.9;-5.91E-07;1.09E-06;293.17;-4.77E-07;1.98E-07;4.84E-07;2.11E-07;0;0;0;0;0;0;293.17
0.95;-6.22E-07;1.15E-06;293.17;-5.02E-07;2.09E-07;5.10E-07;2.23E-07;0;0;0;0;0;0;293.17
1;-6.54E-07;1.21E-06;293.18;-5.28E-07;2.20E-07;5.36E-07;2.34E-07;0;0;0;0;0;0;293.18
1.05;-6.86E-07;1.26E-06;293.18;-5.53E-07;2.30E-07;5.62E-07;2.45E-07;0;0;0;0;0;0;293.18
1.1;-7.17E-07;1.32E-06;293.18;-5.79E-07;2.41E-07;5.87E-07;2.56E-07;0;0;0;0;0;0;293.18
1.15;-7.48E-07;1.38E-06;293.18;-6.04E-07;2.51E-07;6.13E-07;2.67E-07;0;0;0;0;0;0;293.18
1.2;-7.79E-07;1.44E-06;293.18;-6.29E-07;2.62E-07;6.38E-07;2.79E-07;0;0;0;0;0;0;293.18
1.25;-8.10E-07;1.49E-06;293.18;-6.54E-07;2.72E-07;6.63E-07;2.89E-07;0;0;0;0;0;0;293.18
1.3;-8.41E-07;1.55E-06;293.18;-6.79E-07;2.83E-07;6.88E-07;3.01E-07;0;0;0;0;0;0;293.18
1.35;-8.72E-07;1.61E-06;293.18;-7.04E-07;2.93E-07;7.13E-07;3.11E-07;0;0;0;0;0;0;293.18
1.4;-9.02E-07;1.67E-06;293.19;-7.29E-07;3.03E-07;7.38E-07;3.22E-07;0;0;0;0;0;0;293.19
1.45;-9.32E-07;1.72E-06;293.19;-7.53E-07;3.13E-07;7.62E-07;3.33E-07;0;0;0;0;0;0;293.19
1.5;-9.63E-07;1.78E-06;293.19;-7.77E-07;3.24E-07;7.87E-07;3.44E-07;0;0;0;0;0;0;293.19
1.55;-9.93E-07;1.83E-06;293.19;-8.02E-07;3.34E-07;8.11E-07;3.54E-07;0;0;0;0;0;0;293.19
1.6;-1.02E-06;1.89E-06;293.19;-8.26E-07;3.44E-07;8.35E-07;3.65E-07;0;0;0;0;0;0;293.19
1.65;-1.05E-06;1.94E-06;293.19;-8.50E-07;3.54E-07;8.59E-07;3.75E-07;0;0;0;0;0;0;293.19
1.7;-1.08E-06;2.00E-06;293.19;-8.74E-07;3.64E-07;8.83E-07;3.86E-07;0;0;0;0;0;0;293.19
1.75;-1.11E-06;2.05E-06;293.19;-8.97E-07;3.74E-07;9.07E-07;3.96E-07;0;0;0;0;0;0;293.19
1.8;-1.14E-06;2.11E-06;293.2;-9.21E-07;3.83E-07;9.30E-07;4.07E-07;0;0;0;0;0;0;293.2
1.85;-1.17E-06;2.16E-06;293.2;-9.45E-07;3.93E-07;9.54E-07;4.17E-07;0;0;0;0;0;0;293.2
1.9;-1.20E-06;2.22E-06;293.2;-9.68E-07;4.03E-07;9.77E-07;4.27E-07;0;0;0;0;0;0;293.2
1.95;-1.23E-06;2.27E-06;293.2;-9.91E-07;4.13E-07;1.00E-06;4.37E-07;0;0;0;0;0;0;293.2
2;-1.26E-06;2.32E-06;293.2;-1.01E-06;4.22E-07;1.02E-06;4.47E-07;0;0;0;0;0;0;293.2
2.05;-1.28E-06;2.38E-06;293.2;-1.04E-06;4.32E-07;1.05E-06;4.57E-07;0;0;0;0;0;0;293.2
2.1;-1.31E-06;2.42E-06;293.2;-1.06E-06;4.41E-07;1.07E-06;4.67E-07;0;0;0;0;0;0;293.2
2.15;-1.33E-06;2.47E-06;293.2;-1.08E-06;4.49E-07;1.09E-06;4.75E-07;0;0;0;0;0;0;293.2
2.2;-1.36E-06;2.51E-06;293.2;-1.10E-06;4.57E-07;1.10E-06;4.83E-07;0;0;0;0;0;0;293.2
2.25;-1.38E-06;2.55E-06;293.2;-1.11E-06;4.64E-07;1.12E-06;4.90E-07;0;0;0;0;0;0;293.2
2.3;-1.40E-06;2.59E-06;293.21;-1.13E-06;4.70E-07;1.14E-06;4.97E-07;0;0;0;0;0;0;293.21
2.35;-1.42E-06;2.62E-06;293.21;-1.14E-06;4.77E-07;1.15E-06;5.04E-07;0;0;0;0;0;0;293.21
2.4;-1.43E-06;2.66E-06;293.21;-1.16E-06;4.82E-07;1.16E-06;5.10E-07;0;0;0;0;0;0;293.21
2.45;-1.45E-06;2.69E-06;293.21;-1.17E-06;4.88E-07;1.18E-06;5.15E-07;0;0;0;0;0;0;293.21
2.5;-1.47E-06;2.72E-06;293.21;-1.18E-06;4.93E-07;1.19E-06;5.21E-07;0;0;0;0;0;0;293.21
2.55;-1.48E-06;2.75E-06;293.21;-1.20E-06;4.98E-07;1.20E-06;5.26E-07;0;0;0;0;0;0;293.21
2.6;-1.49E-06;2.77E-06;293.21;-1.21E-06;5.03E-07;1.21E-06;5.30E-07;0;0;0;0;0;0;293.21
2.65;-1.51E-06;2.80E-06;293.21;-1.22E-06;5.08E-07;1.22E-06;5.35E-07;0;0;0;0;0;0;293.21
2.7;-1.52E-06;2.82E-06;293.21;-1.23E-06;5.12E-07;1.23E-06;5.39E-07;0;0;0;0;0;0;293.21
2.75;-1.53E-06;2.85E-06;293.21;-1.24E-06;5.16E-07;1.24E-06;5.43E-07;0;0;0;0;0;0;293.21
2.8;-1.55E-06;2.87E-06;293.21;-1.25E-06;5.20E-07;1.25E-06;5.47E-07;0;0;0;0;0;0;293.21
2.85;-1.56E-06;2.89E-06;293.21;-1.26E-06;5.24E-07;1.26E-06;5.52E-07;0;0;0;0;0;0;293.21
2.9;-1.57E-06;2.92E-06;293.21;-1.27E-06;5.28E-07;1.27E-06;5.55E-07;0;0;0;0;0;0;293.21
2.95;-1.58E-06;2.94E-06;293.21;-1.28E-06;5.32E-07;1.28E-06;5.59E-07;0;0;0;0;0;0;293.21
3;-1.59E-06;2.96E-06;293.21;-1.29E-06;5.36E-07;1.29E-06;5.64E-07;0;0;0;0;0;0;293.21
3.05;-1.61E-06;2.99E-06;293.21;-1.30E-06;5.41E-07;1.30E-06;5.68E-07;0;0;0;0;0;0;293.21
3.1;-1.62E-06;3.01E-06;293.21;-1.31E-06;5.45E-07;1.31E-06;5.72E-07;0;0;0;0;0;0;293.21
3.15;-1.63E-06;3.04E-06;293.21;-1.32E-06;5.49E-07;1.32E-06;5.76E-07;0;0;0;0;0;0;293.21
3.2;-1.64E-06;3.06E-06;293.21;-1.33E-06;5.54E-07;1.33E-06;5.81E-07;0;0;0;0;0;0;293.21
3.25;-1.66E-06;3.09E-06;293.22;-1.34E-06;5.59E-07;1.34E-06;5.86E-07;0;0;0;0;0;0;293.22
3.3;-1.67E-06;3.12E-06;293.22;-1.35E-06;5.64E-07;1.35E-06;5.91E-07;0;0;0;0;0;0;293.22
