Time;Volt_n1_V_out;Volt_p1_V_out;Temp_PVDF_1;Volt_n2_V_out;Volt_n3_V_out;Volt_p2_V_out;Volt_p3_V_out;Temp_PVDF_2
0;2.32E-18;-5.52E-19;293.15;3.73E-18;1.16E-17;1.59E-18;-1.23E-17;293.15
0.05;-1.40E-08;7.54E-08;293.15;-8.18E-08;-1.42E-08;5.96E-08;-1.14E-08;293.15
0.1;-3.70E-08;1.96E-07;293.15;-2.12E-07;-3.66E-08;1.55E-07;-2.95E-08;293.15
0.15;-5.40E-08;2.88E-07;293.15;-3.13E-07;-5.40E-08;2.27E-07;-4.36E-08;293.15
0.2;-6.65E-08;3.54E-07;293.16;-3.85E-07;-6.65E-08;2.79E-07;-5.38E-08;293.16
0.25;-8.11E-08;4.32E-07;293.16;-4.70E-07;-8.12E-08;3.41E-07;-6.57E-08;293.16
0.3;-9.78E-08;5.21E-07;293.16;-5.67E-07;-9.79E-08;4.11E-07;-7.93E-08;293.16
0.35;-1.15E-07;6.10E-07;293.16;-6.64E-07;-1.15E-07;4.82E-07;-9.30E-08;293.16
0.4;-1.31E-07;6.97E-07;293.16;-7.58E-07;-1.31E-07;5.50E-07;-1.06E-07;293.16
0.45;-1.47E-07;7.82E-07;293.16;-8.52E-07;-1.47E-07;6.18E-07;-1.19E-07;293.16
0.5;-1.63E-07;8.67E-07;293.16;-9.45E-07;-1.63E-07;6.85E-07;-1.33E-07;293.16
0.55;-1.79E-07;9.52E-07;293.16;-1.04E-06;-1.79E-07;7.52E-07;-1.46E-07;293.16
0.6;-1.95E-07;1.04E-06;293.17;-1.13E-06;-1.95E-07;8.19E-07;-1.59E-07;293.17
0.65;-2.11E-07;1.12E-06;293.17;-1.22E-06;-2.11E-07;8.86E-07;-1.72E-07;293.17
0.7;-2.26E-07;1.21E-06;293.17;-1.31E-06;-2.26E-07;9.53E-07;-1.85E-07;293.17
0.75;-2.42E-07;1.29E-06;293.17;-1.41E-06;-2.42E-07;1.02E-06;-1.98E-07;293.17
0.8;-2.57E-07;1.37E-06;293.17;-1.50E-06;-2.57E-07;1.08E-06;-2.11E-07;293.17
0.85;-2.73E-07;1.45E-06;293.17;-1.59E-06;-2.73E-07;1.15E-06;-2.24E-07;293.17
0.9;-2.88E-07;1.54E-06;293.17;-1.68E-06;-2.88E-07;1.22E-06;-2.37E-07;293.17
0.95;-3.03E-07;1.62E-06;293.17;-1.77E-06;-3.03E-07;1.28E-06;-2.50E-07;293.17
1;-3.19E-07;1.70E-06;293.18;-1.86E-06;-3.19E-07;1.35E-06;-2.63E-07;293.18
1.05;-3.34E-07;1.78E-06;293.18;-1.95E-06;-3.34E-07;1.41E-06;-2.75E-07;293.18
1.1;-3.49E-07;1.86E-06;293.18;-2.04E-06;-3.49E-07;1.48E-06;-2.88E-07;293.18
1.15;-3.63E-07;1.94E-06;293.18;-2.13E-06;-3.63E-07;1.54E-06;-3.01E-07;293.18
1.2;-3.78E-07;2.02E-06;293.18;-2.22E-06;-3.78E-07;1.60E-06;-3.14E-07;293.18
1.25;-3.93E-07;2.10E-06;293.18;-2.31E-06;-3.93E-07;1.67E-06;-3.26E-07;293.18
1.3;-4.07E-07;2.18E-06;293.18;-2.39E-06;-4.07E-07;1.73E-06;-3.39E-07;293.18
1.35;-4.22E-07;2.26E-06;293.18;-2.48E-06;-4.22E-07;1.79E-06;-3.51E-07;293.18
1.4;-4.36E-07;2.34E-06;293.19;-2.57E-06;-4.36E-07;1.86E-06;-3.64E-07;293.19
1.45;-4.50E-07;2.42E-06;293.19;-2.66E-06;-4.50E-07;1.92E-06;-3.76E-07;293.19
1.5;-4.64E-07;2.50E-06;293.19;-2.74E-06;-4.64E-07;1.98E-06;-3.89E-07;293.19
1.55;-4.78E-07;2.57E-06;293.19;-2.83E-06;-4.78E-07;2.04E-06;-4.01E-07;293.19
1.6;-4.92E-07;2.65E-06;293.19;-2.91E-06;-4.92E-07;2.10E-06;-4.13E-07;293.19
1.65;-5.06E-07;2.73E-06;293.19;-3.00E-06;-5.06E-07;2.16E-06;-4.25E-07;293.19
1.7;-5.19E-07;2.80E-06;293.19;-3.08E-06;-5.19E-07;2.22E-06;-4.38E-07;293.19
1.75;-5.33E-07;2.88E-06;293.19;-3.17E-06;-5.33E-07;2.28E-06;-4.50E-07;293.19
1.8;-5.46E-07;2.95E-06;293.2;-3.25E-06;-5.46E-07;2.34E-06;-4.62E-07;293.2
1.85;-5.59E-07;3.03E-06;293.2;-3.34E-06;-5.60E-07;2.40E-06;-4.74E-07;293.2
1.9;-5.73E-07;3.10E-06;293.2;-3.42E-06;-5.73E-07;2.46E-06;-4.86E-07;293.2
1.95;-5.86E-07;3.17E-06;293.2;-3.50E-06;-5.86E-07;2.52E-06;-4.98E-07;293.2
2;-5.99E-07;3.25E-06;293.2;-3.58E-06;-5.99E-07;2.58E-06;-5.09E-07;293.2
2.05;-6.11E-07;3.32E-06;293.2;-3.66E-06;-6.11E-07;2.64E-06;-5.21E-07;293.2
