Time;Volt_n1_V_out;Volt_p1_V_out;Temp_PVDF_1;Volt_n2_V_out;Volt_n3_V_out;Volt_p2_V_out;Volt_p3_V_out;Temp_PVDF_2;;;;
0;3.18E-18;-1.99E-17;293.15;1.27E-17;-2.66E-18;1.02E-17;-2.18E-17;293.15;;;;
0.03;-4.51E-08;-2.03E-08;293.15;1.88E-08;-3.21E-08;2.03E-07;-3.32E-08;293.15;;;;
0.06;-9.71E-08;-4.37E-08;293.15;4.05E-08;-6.91E-08;4.35E-07;-7.14E-08;293.15;;;;
0.09;-1.41E-07;-6.34E-08;293.15;5.86E-08;-1.00E-07;6.31E-07;-1.04E-07;293.15;;;;
0.12;-1.77E-07;-7.95E-08;293.15;7.35E-08;-1.26E-07;7.90E-07;-1.30E-07;293.15;;;;
0.15;-2.17E-07;-9.75E-08;293.15;9.02E-08;-1.54E-07;9.69E-07;-1.59E-07;293.15;;;;
0.18;-2.60E-07;-1.17E-07;293.15;1.09E-07;-1.85E-07;1.17E-06;-1.92E-07;293.15;;;;
0.21;-3.05E-07;-1.37E-07;293.16;1.27E-07;-2.17E-07;1.36E-06;-2.24E-07;293.16;;;;
0.24;-3.49E-07;-1.57E-07;293.16;1.45E-07;-2.48E-07;1.56E-06;-2.57E-07;293.16;;;;
0.27;-3.92E-07;-1.77E-07;293.16;1.63E-07;-2.79E-07;1.75E-06;-2.88E-07;293.16;;;;
0.3;-4.35E-07;-1.96E-07;293.16;1.81E-07;-3.10E-07;1.94E-06;-3.20E-07;293.16;;;;
0.33;-4.78E-07;-2.16E-07;293.16;1.99E-07;-3.41E-07;2.14E-06;-3.52E-07;293.16;;;;
0.36;-5.21E-07;-2.35E-07;293.16;2.17E-07;-3.71E-07;2.33E-06;-3.83E-07;293.16;;;;
0.39;-5.64E-07;-2.54E-07;293.16;2.35E-07;-4.02E-07;2.52E-06;-4.15E-07;293.16;;;;
0.42;-6.07E-07;-2.74E-07;293.16;2.53E-07;-4.32E-07;2.71E-06;-4.46E-07;293.16;;;;
0.45;-6.50E-07;-2.93E-07;293.16;2.71E-07;-4.63E-07;2.90E-06;-4.78E-07;293.16;;;;
