Time;Volt_n1_V_out;Volt_p1_V_out;Volt_n2_V_out;Volt_n3_V_out;Volt_p2_V_out;Volt_p3_V_out;PVDF1;PVDF2;PVDF3;PVDF4;PVDF5;PVDF6;PVDF7;PVDF8;PVDF9
0.0;-7.5656e-18;4.0601e-18;1.0978e-18;8.031100000000001e-19;1.12e-17;3.3658e-18;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.008;-2.2124e-15;4.2909e-15;-1.9856e-15;-4.6149e-16;2.5664e-15;2.2146e-15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.016;8.468e-09;1.0723e-08;-5.7393e-09;-2.9379e-08;1.568e-09;7.6779e-08;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.032;2.3713e-08;3.0029e-08;-1.6125e-08;-8.2229e-08;4.3521e-09;2.1483e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.064;4.6719e-08;5.9183e-08;-3.1806e-08;-1.6209e-07;8.5749e-09;4.2337e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.128;8.4811e-08;1.0747e-07;-5.7883e-08;-2.9432e-07;1.5506e-08;7.6842e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.2;1.3111e-07;1.662e-07;-8.9667e-08;-4.552e-07;2.39e-08;1.1879e-06;293.15;293.16;293.15;293.15;293.16;293.15;293.15;293.15;293.16
0.25;1.6391e-07;2.0781e-07;-1.1224e-07;-5.6913e-07;2.9813e-08;1.4849e-06;293.15;293.16;293.15;293.15;293.16;293.15;293.15;293.15;293.16
0.3;1.9679e-07;2.4951e-07;-1.349e-07;-6.8334e-07;3.5724e-08;1.7826e-06;293.15;293.16;293.15;293.15;293.16;293.15;293.15;293.15;293.16
0.35;2.2925e-07;2.907e-07;-1.5732e-07;-7.9615e-07;4.1549e-08;2.0765e-06;293.15;293.16;293.15;293.15;293.16;293.15;293.15;293.15;293.16
0.4;2.6143e-07;3.3154e-07;-1.7957e-07;-9.0799e-07;4.7307e-08;2.3679e-06;293.15;293.16;293.15;293.15;293.16;293.15;293.15;293.15;293.16
0.45;2.935e-07;3.7226e-07;-2.0177e-07;-1.0195e-06;5.3038e-08;2.6582e-06;293.15;293.16;293.15;293.15;293.16;293.15;293.15;293.15;293.16
0.5;3.2536e-07;4.1272e-07;-2.2387e-07;-1.1303e-06;5.8709e-08;2.9467e-06;293.15;293.16;293.15;293.15;293.16;293.15;293.15;293.15;293.16
0.55;3.5717e-07;4.5309e-07;-2.4591e-07;-1.2408e-06;6.4373e-08;3.2346e-06;293.15;293.16;293.15;293.15;293.16;293.15;293.15;293.15;293.16
0.6;3.8906e-07;4.9359e-07;-2.6804e-07;-1.3517e-06;7.006e-08;3.5233e-06;293.15;293.17;293.15;293.15;293.17;293.15;293.15;293.15;293.17
0.65;4.2068e-07;5.3374e-07;-2.9002e-07;-1.4617e-06;7.5659e-08;3.8094e-06;293.15;293.17;293.15;293.15;293.17;293.15;293.15;293.15;293.17
0.7;4.5218e-07;5.7375e-07;-3.1193e-07;-1.5713e-06;8.1248e-08;4.0946e-06;293.15;293.17;293.15;293.15;293.17;293.15;293.15;293.15;293.17
