Time;Volt_n1_V_out;Volt_p1_V_out;Volt_n2_V_out;Volt_n3_V_out;Volt_p2_V_out;Volt_p3_V_out;PVDF1;PVDF2;PVDF3;PVDF4;PVDF5;PVDF6;PVDF7;PVDF8;PVDF9
0.0;-8.1682e-18;3.9568e-18;-5.3579e-19;4.6238e-18;8.1227e-18;8.5799e-18;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.008;-2.2195e-15;3.9386e-15;-2.1631e-15;7.6388e-16;2.1856e-15;3.6458e-15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.016;-4.6636e-08;9.4045e-08;2.8409e-08;-3.5536e-08;-1.9619e-08;6.9811e-08;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.032;-1.3042e-07;2.6304e-07;7.9462e-08;-9.9508e-08;-5.5009e-08;1.9526e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.064;-2.5703e-07;5.184e-07;1.5663e-07;-1.961e-07;-1.0842e-07;3.8485e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.128;-4.6649e-07;9.4072e-07;2.8413e-07;-3.5623e-07;-1.9698e-07;6.9837e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.2;-7.2111e-07;1.4541e-06;4.3918e-07;-5.5096e-07;-3.0483e-07;1.0795e-06;293.15;293.16;293.16;293.15;293.15;293.15;293.16;293.15;293.16
0.25;-9.0134e-07;1.8176e-06;5.4893e-07;-6.8893e-07;-3.8128e-07;1.3493e-06;293.15;293.16;293.16;293.15;293.15;293.15;293.16;293.15;293.16
0.3;-1.0819e-06;2.1818e-06;6.5892e-07;-8.2726e-07;-4.5795e-07;1.6197e-06;293.15;293.16;293.16;293.15;293.15;293.15;293.16;293.15;293.16
0.35;-1.2603e-06;2.5414e-06;7.6751e-07;-9.6391e-07;-5.3372e-07;1.8867e-06;293.15;293.16;293.16;293.15;293.15;293.15;293.16;293.15;293.16
0.4;-1.437e-06;2.8978e-06;8.7513e-07;-1.0994e-06;-6.0886e-07;2.1513e-06;293.15;293.16;293.16;293.15;293.15;293.15;293.16;293.15;293.16
0.45;-1.6132e-06;3.253e-06;9.8237e-07;-1.2344e-06;-6.8377e-07;2.415e-06;293.15;293.16;293.16;293.15;293.15;293.15;293.16;293.15;293.16
