Time;Volt_n1_V_out;Volt_p1_V_out;Volt_n2_V_out;Volt_n3_V_out;Volt_p2_V_out;Volt_p3_V_out;PVDF1;PVDF2;PVDF3;PVDF4;PVDF5;PVDF6;PVDF7;PVDF8;PVDF9
0.0;-7.693e-18;-1.7852e-18;8.3156e-19;3.2642e-18;8.4043e-18;8.8241e-18;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.008;-2.4403e-15;2.2057e-15;-2.5249e-15;4.4171e-16;1.7481e-15;3.2713e-15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.016;-2.3198e-08;8.5428e-08;-1.0109e-08;-1.3143e-08;8.982e-08;-1.3198e-08;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.032;-6.4956e-08;2.389e-07;-2.8295e-08;-3.6841e-08;2.5121e-07;-3.7085e-08;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.064;-1.2805e-07;4.7079e-07;-5.5816e-08;-7.2657e-08;4.951e-07;-7.304e-08;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.128;-2.3255e-07;8.5427e-07;-1.0138e-07;-1.3204e-07;8.9851e-07;-1.3277e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.2;-3.5967e-07;1.3204e-06;-1.569e-07;-2.0439e-07;1.3889e-06;-2.0541e-07;293.16;293.15;293.16;293.16;293.16;293.16;293.15;293.15;293.15
0.25;-4.4974e-07;1.6503e-06;-1.9622e-07;-2.5567e-07;1.7361e-06;-2.5698e-07;293.16;293.15;293.16;293.16;293.16;293.16;293.15;293.15;293.15
0.3;-5.4003e-07;1.9809e-06;-2.3563e-07;-3.0712e-07;2.084e-06;-3.0871e-07;293.16;293.15;293.16;293.16;293.16;293.16;293.15;293.15;293.15
0.35;-6.2924e-07;2.3073e-06;-2.7459e-07;-3.5797e-07;2.4275e-06;-3.5983e-07;293.16;293.15;293.16;293.16;293.16;293.16;293.15;293.15;293.15
0.4;-7.1768e-07;2.6308e-06;-3.1323e-07;-4.0842e-07;2.768e-06;-4.1053e-07;293.16;293.15;293.16;293.16;293.16;293.16;293.15;293.15;293.15
0.45;-8.0584e-07;2.9531e-06;-3.5175e-07;-4.5872e-07;3.1073e-06;-4.6109e-07;293.16;293.15;293.16;293.16;293.16;293.16;293.15;293.15;293.15
0.5;-8.9347e-07;3.2732e-06;-3.9005e-07;-5.0875e-07;3.4443e-06;-5.1139e-07;293.16;293.15;293.16;293.16;293.16;293.16;293.15;293.15;293.15
0.55;-9.8091e-07;3.5928e-06;-4.2828e-07;-5.5867e-07;3.7807e-06;-5.6156e-07;293.16;293.15;293.16;293.16;293.16;293.16;293.15;293.15;293.15
0.6;-1.0686e-06;3.9132e-06;-4.666e-07;-6.0874e-07;4.118e-06;-6.1189e-07;293.17;293.15;293.17;293.17;293.17;293.17;293.15;293.15;293.15
0.65;-1.1556e-06;4.2307e-06;-5.0463e-07;-6.5845e-07;4.4523e-06;-6.6186e-07;293.17;293.15;293.17;293.17;293.17;293.17;293.15;293.15;293.15
0.7;-1.2423e-06;4.5471e-06;-5.4253e-07;-7.0797e-07;4.7854e-06;-7.1164e-07;293.17;293.15;293.17;293.17;293.17;293.17;293.15;293.15;293.15
0.75;-1.3285e-06;4.8615e-06;-5.8021e-07;-7.5724e-07;5.1164e-06;-7.6117e-07;293.17;293.15;293.17;293.17;293.17;293.17;293.15;293.15;293.15
0.8;-1.4143e-06;5.1748e-06;-6.1778e-07;-8.0635e-07;5.4464e-06;-8.1053e-07;293.17;293.15;293.17;293.17;293.17;293.17;293.15;293.15;293.15
0.85;-1.4998e-06;5.4864e-06;-6.5517e-07;-8.5525e-07;5.7746e-06;-8.5969e-07;293.17;293.15;293.17;293.17;293.17;293.17;293.15;293.15;293.15
0.9;-1.585e-06;5.7968e-06;-6.9242e-07;-9.0396e-07;6.1014e-06;-9.0865e-07;293.17;293.15;293.17;293.17;293.17;293.17;293.15;293.15;293.15
0.95;-1.6697e-06;6.1055e-06;-7.2948e-07;-9.5246e-07;6.4266e-06;-9.5741e-07;293.17;293.15;293.17;293.17;293.17;293.17;293.15;293.15;293.15
1.0;-1.754e-06;6.4128e-06;-7.6639e-07;-1.0007e-06;6.7502e-06;-1.0059e-06;293.18;293.15;293.18;293.18;293.18;293.18;293.15;293.15;293.15
1.05;-1.838e-06;6.7185e-06;-8.0313e-07;-1.0488e-06;7.0722e-06;-1.0543e-06;293.18;293.15;293.18;293.18;293.18;293.18;293.15;293.15;293.15
1.1;-1.9215e-06;7.0227e-06;-8.3969e-07;-1.0967e-06;7.3926e-06;-1.1024e-06;293.18;293.15;293.18;293.18;293.18;293.18;293.15;293.15;293.15
1.15;-2.0046e-06;7.3253e-06;-8.7608e-07;-1.1443e-06;7.7113e-06;-1.1503e-06;293.18;293.15;293.18;293.18;293.18;293.18;293.15;293.15;293.15
1.2;-2.087e-06;7.625e-06;-9.1215e-07;-1.1915e-06;8.0271e-06;-1.1977e-06;293.18;293.15;293.18;293.18;293.18;293.18;293.15;293.15;293.15
1.25;-2.169e-06;7.9235e-06;-9.4806e-07;-1.2385e-06;8.3415e-06;-1.245e-06;293.18;293.15;293.18;293.18;293.18;293.18;293.15;293.15;293.15
1.3;-2.2514e-06;8.2233e-06;-9.8414e-07;-1.2858e-06;8.6573e-06;-1.2925e-06;293.18;293.15;293.18;293.18;293.18;293.18;293.15;293.15;293.15
1.35;-2.3329e-06;8.5195e-06;-1.0198e-06;-1.3325e-06;8.9693e-06;-1.3394e-06;293.18;293.15;293.18;293.18;293.18;293.18;293.15;293.15;293.15
1.4;-2.414e-06;8.8143e-06;-1.0553e-06;-1.379e-06;9.2799e-06;-1.3862e-06;293.19;293.15;293.19;293.19;293.19;293.19;293.15;293.15;293.15
1.45;-2.4944e-06;9.1066e-06;-1.0906e-06;-1.4252e-06;9.588e-06;-1.4326e-06;293.19;293.15;293.19;293.19;293.19;293.19;293.15;293.15;293.15
1.5;-2.5745e-06;9.3977e-06;-1.1257e-06;-1.4712e-06;9.8947e-06;-1.4788e-06;293.19;293.15;293.19;293.19;293.19;293.19;293.15;293.15;293.15
1.55;-2.6541e-06;9.6869e-06;-1.1605e-06;-1.5169e-06;1.0199e-05;-1.5248e-06;293.19;293.15;293.19;293.19;293.19;293.19;293.15;293.15;293.15
1.6;-2.7333e-06;9.9745e-06;-1.1952e-06;-1.5624e-06;1.0502e-05;-1.5705e-06;293.19;293.15;293.19;293.19;293.19;293.19;293.15;293.15;293.15
1.65;-2.812e-06;1.026e-05;-1.2297e-06;-1.6075e-06;1.0803e-05;-1.6159e-06;293.19;293.15;293.19;293.19;293.19;293.19;293.15;293.15;293.15
1.7;-2.8898e-06;1.0543e-05;-1.2638e-06;-1.6523e-06;1.1101e-05;-1.6609e-06;293.19;293.15;293.19;293.19;293.19;293.19;293.15;293.15;293.15
1.75;-2.9673e-06;1.0824e-05;-1.2978e-06;-1.6968e-06;1.1397e-05;-1.7056e-06;293.19;293.15;293.19;293.19;293.19;293.19;293.15;293.15;293.15
1.8;-3.0451e-06;1.1106e-05;-1.3319e-06;-1.7415e-06;1.1695e-05;-1.7506e-06;293.2;293.15;293.2;293.2;293.2;293.2;293.15;293.15;293.15
1.85;-3.1219e-06;1.1385e-05;-1.3656e-06;-1.7857e-06;1.1989e-05;-1.795e-06;293.2;293.15;293.2;293.2;293.2;293.2;293.15;293.15;293.15
1.9;-3.1983e-06;1.1662e-05;-1.399e-06;-1.8296e-06;1.2281e-05;-1.8391e-06;293.2;293.15;293.2;293.2;293.2;293.2;293.15;293.15;293.15
1.95;-3.2739e-06;1.1936e-05;-1.4322e-06;-1.8731e-06;1.257e-05;-1.8829e-06;293.2;293.15;293.2;293.2;293.2;293.2;293.15;293.15;293.15
2.0;-3.3492e-06;1.2209e-05;-1.4652e-06;-1.9164e-06;1.2857e-05;-1.9264e-06;293.2;293.15;293.2;293.2;293.2;293.2;293.15;293.15;293.15
