Time;Volt_n1_V_out;Volt_p1_V_out;Volt_n2_V_out;Volt_n3_V_out;Volt_p2_V_out;Volt_p3_V_out;PVDF1;PVDF2;PVDF3;PVDF4;PVDF5;PVDF6;PVDF7;PVDF8;PVDF9
0.0;-7.6496e-18;-5.5301e-18;-8.3421e-18;-6.7286e-18;-6.1553e-18;-2.8748e-18;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.008;-4.7746e-15;7.7742e-15;-3.9513e-15;-1.0872e-15;7.6181e-15;7.4236e-15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.016;-6.9663e-08;9.7647e-08;-2.5615e-09;-7.0293e-09;9.6164e-08;-7.108e-09;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.032;-1.949e-07;2.7317e-07;-7.1732e-09;-1.9753e-08;2.6893e-07;-1.9956e-08;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.064;-3.8411e-07;5.3831e-07;-1.4222e-08;-3.8963e-08;5.3006e-07;-3.9378e-08;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.128;-6.9718e-07;9.7691e-07;-2.5947e-08;-7.0919e-08;9.6195e-07;-7.1689e-08;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.2;-1.0778e-06;1.5101e-06;-4.033e-08;-1.0988e-07;1.4871e-06;-1.1104e-07;293.15;293.16;293.16;293.16;293.16;293.16;293.16;293.15;293.15
0.25;-1.3473e-06;1.8876e-06;-5.05e-08;-1.3752e-07;1.8588e-06;-1.3899e-07;293.15;293.16;293.16;293.16;293.16;293.16;293.16;293.15;293.15
0.3;-1.6173e-06;2.2658e-06;-6.0762e-08;-1.653e-07;2.2313e-06;-1.6707e-07;293.15;293.16;293.16;293.16;293.16;293.16;293.16;293.15;293.15
0.35;-1.8841e-06;2.6393e-06;-7.0929e-08;-1.9278e-07;2.5991e-06;-1.9484e-07;293.15;293.16;293.16;293.16;293.16;293.16;293.16;293.15;293.15
0.4;-2.1484e-06;3.0095e-06;-8.1038e-08;-2.2005e-07;2.9636e-06;-2.224e-07;293.15;293.16;293.16;293.16;293.16;293.16;293.16;293.15;293.15
0.45;-2.4119e-06;3.3784e-06;-9.1138e-08;-2.4727e-07;3.3269e-06;-2.499e-07;293.15;293.16;293.16;293.16;293.16;293.16;293.16;293.15;293.15
0.5;-2.6736e-06;3.7448e-06;-1.0121e-07;-2.7437e-07;3.6878e-06;-2.7729e-07;293.15;293.16;293.16;293.16;293.16;293.16;293.16;293.15;293.15
0.55;-2.9348e-06;4.1105e-06;-1.1126e-07;-3.0139e-07;4.048e-06;-3.0461e-07;293.15;293.16;293.16;293.16;293.16;293.16;293.16;293.15;293.15
0.6;-3.1967e-06;4.4773e-06;-1.2133e-07;-3.2851e-07;4.4092e-06;-3.3201e-07;293.15;293.17;293.17;293.17;293.17;293.17;293.17;293.15;293.15
0.65;-3.4564e-06;4.8408e-06;-1.3137e-07;-3.5546e-07;4.7672e-06;-3.5925e-07;293.15;293.17;293.17;293.17;293.17;293.17;293.17;293.15;293.15
0.7;-3.7151e-06;5.203e-06;-1.4138e-07;-3.8232e-07;5.1239e-06;-3.8639e-07;293.15;293.17;293.17;293.17;293.17;293.17;293.17;293.15;293.15
0.75;-3.9722e-06;5.5629e-06;-1.5136e-07;-4.0906e-07;5.4783e-06;-4.1341e-07;293.15;293.17;293.17;293.17;293.17;293.17;293.17;293.15;293.15
0.8;-4.2284e-06;5.9216e-06;-1.6132e-07;-4.3572e-07;5.8316e-06;-4.4036e-07;293.15;293.17;293.17;293.17;293.17;293.17;293.17;293.15;293.15
0.85;-4.4834e-06;6.2784e-06;-1.7124e-07;-4.6228e-07;6.1831e-06;-4.672e-07;293.15;293.17;293.17;293.17;293.17;293.17;293.17;293.15;293.15
0.9;-4.7373e-06;6.6338e-06;-1.8114e-07;-4.8875e-07;6.533e-06;-4.9395e-07;293.15;293.17;293.17;293.17;293.17;293.17;293.17;293.15;293.15
0.95;-4.9899e-06;6.9873e-06;-1.9101e-07;-5.1512e-07;6.8812e-06;-5.206e-07;293.15;293.17;293.17;293.17;293.17;293.17;293.17;293.15;293.15
1.0;-5.2413e-06;7.3392e-06;-2.0085e-07;-5.4138e-07;7.2278e-06;-5.4714e-07;293.15;293.18;293.18;293.18;293.18;293.18;293.18;293.15;293.15
1.05;-5.4915e-06;7.6893e-06;-2.1065e-07;-5.6754e-07;7.5726e-06;-5.7357e-07;293.15;293.18;293.18;293.18;293.18;293.18;293.18;293.15;293.15
1.1;-5.7404e-06;8.0377e-06;-2.2042e-07;-5.9359e-07;7.9157e-06;-5.999e-07;293.15;293.18;293.18;293.18;293.18;293.18;293.18;293.15;293.15
1.15;-5.9881e-06;8.3842e-06;-2.3016e-07;-6.1953e-07;8.2571e-06;-6.2611e-07;293.15;293.18;293.18;293.18;293.18;293.18;293.18;293.15;293.15
1.2;-6.2334e-06;8.7275e-06;-2.3983e-07;-6.4526e-07;8.5951e-06;-6.5212e-07;293.15;293.18;293.18;293.18;293.18;293.18;293.18;293.15;293.15
1.25;-6.4777e-06;9.0693e-06;-2.4947e-07;-6.7089e-07;8.9318e-06;-6.7801e-07;293.15;293.18;293.18;293.18;293.18;293.18;293.18;293.15;293.15
1.3;-6.7231e-06;9.4127e-06;-2.5914e-07;-6.9663e-07;9.2701e-06;-7.0403e-07;293.15;293.18;293.18;293.18;293.18;293.18;293.18;293.15;293.15
1.35;-6.9656e-06;9.752e-06;-2.6874e-07;-7.2212e-07;9.6042e-06;-7.2979e-07;293.15;293.18;293.18;293.18;293.18;293.18;293.18;293.15;293.15
1.4;-7.2069e-06;1.009e-05;-2.783e-07;-7.475e-07;9.9368e-06;-7.5543e-07;293.15;293.19;293.19;293.19;293.19;293.19;293.19;293.15;293.15
1.45;-7.4463e-06;1.0425e-05;-2.8779e-07;-7.727e-07;1.0267e-05;-7.809e-07;293.15;293.19;293.19;293.19;293.19;293.19;293.19;293.15;293.15
1.5;-7.6847e-06;1.0758e-05;-2.9727e-07;-7.9781e-07;1.0595e-05;-8.0627e-07;293.15;293.19;293.19;293.19;293.19;293.19;293.19;293.15;293.15
1.55;-7.9215e-06;1.1089e-05;-3.0669e-07;-8.2277e-07;1.0922e-05;-8.315e-07;293.15;293.19;293.19;293.19;293.19;293.19;293.19;293.15;293.15
1.6;-8.1571e-06;1.1419e-05;-3.1607e-07;-8.4762e-07;1.1246e-05;-8.5661e-07;293.15;293.19;293.19;293.19;293.19;293.19;293.19;293.15;293.15
1.65;-8.3911e-06;1.1746e-05;-3.2541e-07;-8.7233e-07;1.1568e-05;-8.8158e-07;293.15;293.19;293.19;293.19;293.19;293.19;293.19;293.15;293.15
1.7;-8.6225e-06;1.207e-05;-3.3466e-07;-8.9679e-07;1.1887e-05;-9.063e-07;293.15;293.19;293.19;293.19;293.19;293.19;293.19;293.15;293.15
1.75;-8.8527e-06;1.2392e-05;-3.4388e-07;-9.2114e-07;1.2204e-05;-9.309e-07;293.15;293.19;293.19;293.19;293.19;293.19;293.19;293.15;293.15
1.8;-9.0842e-06;1.2716e-05;-3.5313e-07;-9.4561e-07;1.2523e-05;-9.5563e-07;293.15;293.2;293.2;293.2;293.2;293.2;293.2;293.15;293.15
1.85;-9.3124e-06;1.3035e-05;-3.6229e-07;-9.6978e-07;1.2838e-05;-9.8006e-07;293.15;293.2;293.2;293.2;293.2;293.2;293.2;293.15;293.15
1.9;-9.5393e-06;1.3352e-05;-3.7141e-07;-9.9383e-07;1.315e-05;-1.0044e-06;293.15;293.2;293.2;293.2;293.2;293.2;293.2;293.15;293.15
1.95;-9.764e-06;1.3666e-05;-3.8045e-07;-1.0177e-06;1.346e-05;-1.0284e-06;293.15;293.2;293.2;293.2;293.2;293.2;293.2;293.15;293.15
2.0;-9.9875e-06;1.3979e-05;-3.8946e-07;-1.0414e-06;1.3768e-05;-1.0524e-06;293.15;293.2;293.2;293.2;293.2;293.2;293.2;293.15;293.15
2.05;-1.0209e-05;1.4289e-05;-3.9841e-07;-1.065e-06;1.4073e-05;-1.0762e-06;293.15;293.2;293.2;293.2;293.2;293.2;293.2;293.15;293.15
2.1;-1.0417e-05;1.458e-05;-4.0685e-07;-1.0871e-06;1.4359e-05;-1.0986e-06;293.15;293.2;293.2;293.2;293.2;293.2;293.2;293.15;293.15
2.15;-1.0605e-05;1.4843e-05;-4.1457e-07;-1.1073e-06;1.4619e-05;-1.119e-06;293.15;293.2;293.2;293.2;293.2;293.2;293.2;293.15;293.15
2.2;-1.078e-05;1.5086e-05;-4.2178e-07;-1.1261e-06;1.4859e-05;-1.138e-06;293.15;293.2;293.2;293.2;293.2;293.2;293.2;293.15;293.15
2.25;-1.0942e-05;1.5313e-05;-4.2853e-07;-1.1436e-06;1.5082e-05;-1.1557e-06;293.15;293.2;293.2;293.2;293.2;293.2;293.2;293.15;293.15
2.3;-1.1094e-05;1.5526e-05;-4.349e-07;-1.1601e-06;1.5292e-05;-1.1724e-06;293.15;293.21;293.21;293.21;293.21;293.21;293.21;293.15;293.15
2.35;-1.1237e-05;1.5725e-05;-4.409e-07;-1.1756e-06;1.5487e-05;-1.1881e-06;293.15;293.21;293.21;293.21;293.21;293.21;293.21;293.15;293.15
2.4;-1.137e-05;1.5911e-05;-4.4657e-07;-1.1902e-06;1.5671e-05;-1.2028e-06;293.15;293.21;293.21;293.21;293.21;293.21;293.21;293.15;293.15
2.45;-1.1495e-05;1.6085e-05;-4.5192e-07;-1.2039e-06;1.5843e-05;-1.2167e-06;293.15;293.21;293.21;293.21;293.21;293.21;293.21;293.15;293.15
2.5;-1.1613e-05;1.625e-05;-4.57e-07;-1.2169e-06;1.6005e-05;-1.2298e-06;293.15;293.21;293.21;293.21;293.21;293.21;293.21;293.15;293.15
2.55;-1.1724e-05;1.6405e-05;-4.6182e-07;-1.2292e-06;1.6157e-05;-1.2422e-06;293.15;293.21;293.21;293.21;293.21;293.21;293.21;293.15;293.15
2.6;-1.1829e-05;1.6552e-05;-4.6643e-07;-1.2409e-06;1.6302e-05;-1.254e-06;293.15;293.21;293.21;293.21;293.21;293.21;293.21;293.15;293.15
2.65;-1.193e-05;1.6692e-05;-4.7086e-07;-1.2522e-06;1.6441e-05;-1.2654e-06;293.15;293.21;293.21;293.21;293.21;293.21;293.21;293.15;293.15
2.7;-1.2026e-05;1.6827e-05;-4.7513e-07;-1.263e-06;1.6573e-05;-1.2763e-06;293.15;293.21;293.21;293.21;293.21;293.21;293.21;293.15;293.15
2.75;-1.2119e-05;1.6957e-05;-4.7928e-07;-1.2735e-06;1.6702e-05;-1.2869e-06;293.15;293.21;293.21;293.21;293.21;293.21;293.21;293.15;293.15
2.8;-1.221e-05;1.7084e-05;-4.8334e-07;-1.2837e-06;1.6827e-05;-1.2972e-06;293.15;293.21;293.21;293.21;293.21;293.21;293.21;293.15;293.15
2.85;-1.23e-05;1.7209e-05;-4.8734e-07;-1.2938e-06;1.695e-05;-1.3074e-06;293.15;293.21;293.21;293.21;293.21;293.21;293.21;293.15;293.15
2.9;-1.2389e-05;1.7332e-05;-4.9132e-07;-1.3038e-06;1.7072e-05;-1.3176e-06;293.15;293.21;293.21;293.21;293.21;293.21;293.21;293.15;293.15
2.95;-1.2478e-05;1.7457e-05;-4.953e-07;-1.3138e-06;1.7194e-05;-1.3277e-06;293.15;293.21;293.21;293.21;293.21;293.21;293.21;293.15;293.15
3.0;-1.2568e-05;1.7582e-05;-4.9932e-07;-1.324e-06;1.7318e-05;-1.3379e-06;293.15;293.21;293.21;293.21;293.21;293.21;293.21;293.15;293.15
3.05;-1.266e-05;1.7711e-05;-5.0341e-07;-1.3343e-06;1.7445e-05;-1.3484e-06;293.15;293.21;293.21;293.21;293.21;293.21;293.21;293.15;293.15
3.1;-1.2755e-05;1.7843e-05;-5.0761e-07;-1.3449e-06;1.7575e-05;-1.3591e-06;293.15;293.21;293.21;293.21;293.21;293.21;293.21;293.15;293.15
3.15;-1.2853e-05;1.798e-05;-5.1193e-07;-1.3559e-06;1.771e-05;-1.3702e-06;293.15;293.21;293.21;293.21;293.21;293.21;293.21;293.15;293.15
3.2;-1.2955e-05;1.8123e-05;-5.1643e-07;-1.3674e-06;1.7851e-05;-1.3818e-06;293.15;293.21;293.21;293.21;293.21;293.21;293.21;293.15;293.15
