Time;Volt_n1_V_out;Volt_p1_V_out;Volt_n2_V_out;Volt_n3_V_out;Volt_p2_V_out;Volt_p3_V_out;PVDF1;PVDF2;PVDF3;PVDF4;PVDF5;PVDF6;PVDF7;PVDF8;PVDF9
0.0;-7.9984e-18;-1.7818e-18;-8.44e-18;-1.243e-18;-3.3871e-18;2.7314e-18;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.008;-5.5754e-15;9.85e-15;-5.2429e-15;2.6608e-16;7.6159e-15;8.8257e-15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.016;-6.344e-08;1.0032e-07;-1.9207e-08;-1.0258e-08;-7.0779e-09;9.4411e-08;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.032;-1.7755e-07;2.8061e-07;-5.3718e-08;-2.8771e-08;-1.9908e-08;2.6413e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.064;-3.4991e-07;5.5305e-07;-1.0599e-07;-5.6728e-08;-3.9232e-08;5.2052e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.128;-6.3519e-07;1.0037e-06;-1.9251e-07;-1.0313e-07;-7.133e-08;9.4472e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.2;-9.8206e-07;1.5517e-06;-2.9789e-07;-1.5961e-07;-1.1057e-07;1.4604e-06;293.16;293.16;293.16;293.16;293.15;293.15;293.16;293.16;293.16
0.25;-1.2277e-06;1.9397e-06;-3.7249e-07;-1.9968e-07;-1.3833e-07;1.8255e-06;293.16;293.16;293.16;293.16;293.15;293.15;293.16;293.16;293.16
0.3;-1.4739e-06;2.3285e-06;-4.4729e-07;-2.3987e-07;-1.6619e-07;2.1915e-06;293.16;293.16;293.16;293.16;293.15;293.15;293.16;293.16;293.16
0.35;-1.717e-06;2.7124e-06;-5.212e-07;-2.796e-07;-1.9377e-07;2.5528e-06;293.16;293.16;293.16;293.16;293.15;293.15;293.16;293.16;293.16
0.4;-1.958e-06;3.0929e-06;-5.9451e-07;-3.1902e-07;-2.2114e-07;2.9109e-06;293.16;293.16;293.16;293.16;293.15;293.15;293.16;293.16;293.16
0.45;-2.1982e-06;3.4721e-06;-6.6759e-07;-3.5832e-07;-2.4846e-07;3.2678e-06;293.16;293.16;293.16;293.16;293.15;293.15;293.16;293.16;293.16
0.5;-2.4369e-06;3.8488e-06;-7.4025e-07;-3.9742e-07;-2.7564e-07;3.6223e-06;293.16;293.16;293.16;293.16;293.15;293.15;293.16;293.16;293.16
0.55;-2.675e-06;4.2248e-06;-8.1274e-07;-4.3643e-07;-3.0276e-07;3.9762e-06;293.16;293.16;293.16;293.16;293.15;293.15;293.16;293.16;293.16
0.6;-2.9139e-06;4.6019e-06;-8.8545e-07;-4.7556e-07;-3.2995e-07;4.3311e-06;293.17;293.17;293.17;293.17;293.15;293.15;293.17;293.17;293.17
0.65;-3.1507e-06;4.9756e-06;-9.5758e-07;-5.1441e-07;-3.5697e-07;4.6828e-06;293.17;293.17;293.17;293.17;293.15;293.15;293.17;293.17;293.17
0.7;-3.3866e-06;5.3479e-06;-1.0294e-06;-5.5311e-07;-3.839e-07;5.0332e-06;293.17;293.17;293.17;293.17;293.15;293.15;293.17;293.17;293.17
0.75;-3.6211e-06;5.718e-06;-1.1009e-06;-5.9162e-07;-4.107e-07;5.3815e-06;293.17;293.17;293.17;293.17;293.15;293.15;293.17;293.17;293.17
0.8;-3.8549e-06;6.0868e-06;-1.1721e-06;-6.3001e-07;-4.3743e-07;5.7286e-06;293.17;293.17;293.17;293.17;293.15;293.15;293.17;293.17;293.17
0.85;-4.0874e-06;6.4537e-06;-1.243e-06;-6.6823e-07;-4.6404e-07;6.0739e-06;293.17;293.17;293.17;293.17;293.15;293.15;293.17;293.17;293.17
0.9;-4.319e-06;6.8192e-06;-1.3137e-06;-7.0631e-07;-4.9056e-07;6.4178e-06;293.17;293.17;293.17;293.17;293.15;293.15;293.17;293.17;293.17
0.95;-4.5494e-06;7.1827e-06;-1.3839e-06;-7.4422e-07;-5.1696e-07;6.7599e-06;293.17;293.17;293.17;293.17;293.15;293.15;293.17;293.17;293.17
1.0;-4.7788e-06;7.5446e-06;-1.4539e-06;-7.8197e-07;-5.4327e-07;7.1005e-06;293.18;293.18;293.18;293.18;293.15;293.15;293.18;293.18;293.18
1.05;-5.007e-06;7.9046e-06;-1.5236e-06;-8.1955e-07;-5.6946e-07;7.4393e-06;293.18;293.18;293.18;293.18;293.15;293.15;293.18;293.18;293.18
1.1;-5.2341e-06;8.2628e-06;-1.5929e-06;-8.5696e-07;-5.9554e-07;7.7765e-06;293.18;293.18;293.18;293.18;293.15;293.15;293.18;293.18;293.18
1.15;-5.4601e-06;8.6192e-06;-1.6618e-06;-8.942e-07;-6.2151e-07;8.1119e-06;293.18;293.18;293.18;293.18;293.15;293.15;293.18;293.18;293.18
1.2;-5.6839e-06;8.9723e-06;-1.7302e-06;-9.3113e-07;-6.4726e-07;8.4442e-06;293.18;293.18;293.18;293.18;293.15;293.15;293.18;293.18;293.18
1.25;-5.9068e-06;9.3239e-06;-1.7983e-06;-9.6789e-07;-6.7291e-07;8.775e-06;293.18;293.18;293.18;293.18;293.15;293.15;293.18;293.18;293.18
1.3;-6.1307e-06;9.677e-06;-1.8666e-06;-1.0048e-06;-6.9867e-07;9.1074e-06;293.18;293.18;293.18;293.18;293.15;293.15;293.18;293.18;293.18
1.35;-6.352e-06;1.0026e-05;-1.9343e-06;-1.0414e-06;-7.2417e-07;9.4358e-06;293.18;293.18;293.18;293.18;293.15;293.15;293.18;293.18;293.18
1.4;-6.5723e-06;1.0373e-05;-2.0016e-06;-1.0777e-06;-7.4956e-07;9.7627e-06;293.19;293.19;293.19;293.19;293.15;293.15;293.19;293.19;293.19
1.45;-6.7908e-06;1.0718e-05;-2.0683e-06;-1.1138e-06;-7.7476e-07;1.0087e-05;293.19;293.19;293.19;293.19;293.15;293.15;293.19;293.19;293.19
1.5;-7.0083e-06;1.1061e-05;-2.1348e-06;-1.1498e-06;-7.9988e-07;1.041e-05;293.19;293.19;293.19;293.19;293.15;293.15;293.19;293.19;293.19
1.55;-7.2244e-06;1.1402e-05;-2.2009e-06;-1.1855e-06;-8.2484e-07;1.073e-05;293.19;293.19;293.19;293.19;293.15;293.15;293.19;293.19;293.19
1.6;-7.4394e-06;1.1741e-05;-2.2667e-06;-1.2211e-06;-8.4969e-07;1.1049e-05;293.19;293.19;293.19;293.19;293.15;293.15;293.19;293.19;293.19
1.65;-7.653e-06;1.2077e-05;-2.332e-06;-1.2565e-06;-8.7438e-07;1.1366e-05;293.19;293.19;293.19;293.19;293.15;293.15;293.19;293.19;293.19
1.7;-7.8642e-06;1.241e-05;-2.3966e-06;-1.2914e-06;-8.9884e-07;1.168e-05;293.19;293.19;293.19;293.19;293.15;293.15;293.19;293.19;293.19
1.75;-8.0743e-06;1.2741e-05;-2.4609e-06;-1.3262e-06;-9.2317e-07;1.1991e-05;293.19;293.19;293.19;293.19;293.15;293.15;293.19;293.19;293.19
1.8;-8.2857e-06;1.3075e-05;-2.5255e-06;-1.3612e-06;-9.4762e-07;1.2305e-05;293.2;293.2;293.2;293.2;293.15;293.15;293.2;293.2;293.2
1.85;-8.494e-06;1.3403e-05;-2.5893e-06;-1.3958e-06;-9.7177e-07;1.2614e-05;293.2;293.2;293.2;293.2;293.15;293.15;293.2;293.2;293.2
1.9;-8.7011e-06;1.3729e-05;-2.6527e-06;-1.4301e-06;-9.958e-07;1.2921e-05;293.2;293.2;293.2;293.2;293.15;293.15;293.2;293.2;293.2
