Time;Volt_n1_V_out;Volt_p1_V_out;Volt_n2_V_out;Volt_n3_V_out;Volt_p2_V_out;Volt_p3_V_out;PVDF1;PVDF2;PVDF3;PVDF4;PVDF5;PVDF6;PVDF7;PVDF8;PVDF9
0.0;-4.958e-18;2.5864e-18;-1.5816e-17;-2.32e-18;1.6892e-17;6.994e-18;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.008;-3.2184e-15;5.5162e-15;-2.2178e-15;-5.3662e-18;5.858e-15;4.4325e-15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.016;-5.7192e-08;8.1207e-08;-2.5864e-08;-2.3027e-08;8.2173e-08;8.1521e-08;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.032;-1.6018e-07;2.2702e-07;-7.2088e-08;-6.4589e-08;2.297e-07;2.2798e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.064;-3.1554e-07;4.4738e-07;-1.4244e-07;-1.2728e-07;4.5277e-07;4.493e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.128;-5.7275e-07;8.1166e-07;-2.587e-07;-2.3129e-07;8.2159e-07;8.1533e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.2;-8.8545e-07;1.2544e-06;-4.002e-07;-3.5786e-07;1.2699e-06;1.2603e-06;293.16;293.15;293.16;293.16;293.16;293.16;293.16;293.16;293.16
0.25;-1.1069e-06;1.5677e-06;-5.0037e-07;-4.476e-07;1.5873e-06;1.5753e-06;293.16;293.15;293.16;293.16;293.16;293.16;293.16;293.16;293.16
0.3;-1.3288e-06;1.8817e-06;-6.0081e-07;-5.3761e-07;1.9052e-06;1.8909e-06;293.16;293.15;293.16;293.16;293.16;293.16;293.16;293.16;293.16
0.35;-1.548e-06;2.1916e-06;-7.0002e-07;-6.2654e-07;2.2192e-06;2.2026e-06;293.16;293.15;293.16;293.16;293.16;293.16;293.16;293.16;293.16
