Time;Volt_n1_V_out;Volt_p1_V_out;Volt_n2_V_out;Volt_n3_V_out;Volt_p2_V_out;Volt_p3_V_out;PVDF1;PVDF2;PVDF3;PVDF4;PVDF5;PVDF6;PVDF7;PVDF8;PVDF9
0.0;1.1081e-18;-8.1716e-18;-3.0048e-18;-3.5464e-18;-7.5903e-18;-3.5239e-18;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.008;1.8583e-15;-1.8999e-15;-1.5153e-16;1.7896e-15;-4.6789e-16;-3.0492e-15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.016;-5.7424e-08;9.4467e-08;-3.2523e-08;-2.1798e-08;8.688e-08;8.2906e-08;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.032;-1.6075e-07;2.6385e-07;-9.0893e-08;-6.1166e-08;2.4332e-07;2.319e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.064;-3.1676e-07;5.2034e-07;-1.7938e-07;-1.2053e-07;4.7915e-07;4.5697e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.128;-5.7499e-07;9.4425e-07;-3.2583e-07;-2.1904e-07;8.6947e-07;8.2925e-07;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15;293.15
0.2;-8.8895e-07;1.4597e-06;-5.0404e-07;-3.3891e-07;1.3439e-06;1.2818e-06;293.16;293.16;293.16;293.16;293.16;293.16;293.16;293.16;293.16
0.25;-1.1113e-06;1.8244e-06;-6.3031e-07;-4.2396e-07;1.6797e-06;1.6021e-06;293.16;293.16;293.16;293.16;293.16;293.16;293.16;293.16;293.16
0.3;-1.3341e-06;2.19e-06;-7.5687e-07;-5.092e-07;2.0163e-06;1.9231e-06;293.16;293.16;293.16;293.16;293.16;293.16;293.16;293.16;293.16
0.35;-1.5541e-06;2.5509e-06;-8.8192e-07;-5.9345e-07;2.3486e-06;2.2401e-06;293.16;293.16;293.16;293.16;293.16;293.16;293.16;293.16;293.16
0.4;-1.7723e-06;2.9086e-06;-1.0059e-06;-6.7702e-07;2.6779e-06;2.5542e-06;293.16;293.16;293.16;293.16;293.16;293.16;293.16;293.16;293.16
0.45;-1.9897e-06;3.265e-06;-1.1295e-06;-7.6036e-07;3.0061e-06;2.8673e-06;293.16;293.16;293.16;293.16;293.16;293.16;293.16;293.16;293.16
0.5;-2.2057e-06;3.619e-06;-1.2524e-06;-8.4324e-07;3.3321e-06;3.1782e-06;293.16;293.16;293.16;293.16;293.16;293.16;293.16;293.16;293.16
0.55;-2.4212e-06;3.9724e-06;-1.375e-06;-9.2593e-07;3.6574e-06;3.4885e-06;293.16;293.16;293.16;293.16;293.16;293.16;293.16;293.16;293.16
0.6;-2.6374e-06;4.3268e-06;-1.498e-06;-1.0089e-06;3.9837e-06;3.7997e-06;293.17;293.17;293.17;293.17;293.17;293.17;293.17;293.17;293.17
0.65;-2.8517e-06;4.6779e-06;-1.62e-06;-1.0912e-06;4.307e-06;4.1081e-06;293.17;293.17;293.17;293.17;293.17;293.17;293.17;293.17;293.17
0.7;-3.0652e-06;5.0278e-06;-1.7416e-06;-1.1732e-06;4.6292e-06;4.4154e-06;293.17;293.17;293.17;293.17;293.17;293.17;293.17;293.17;293.17
0.75;-3.2774e-06;5.3755e-06;-1.8624e-06;-1.2548e-06;4.9493e-06;4.7208e-06;293.17;293.17;293.17;293.17;293.17;293.17;293.17;293.17;293.17
0.8;-3.4889e-06;5.722e-06;-1.9829e-06;-1.3361e-06;5.2683e-06;5.0251e-06;293.17;293.17;293.17;293.17;293.17;293.17;293.17;293.17;293.17
0.85;-3.6994e-06;6.0667e-06;-2.1028e-06;-1.4171e-06;5.5857e-06;5.3278e-06;293.17;293.17;293.17;293.17;293.17;293.17;293.17;293.17;293.17
0.9;-3.909e-06;6.41e-06;-2.2222e-06;-1.4977e-06;5.9018e-06;5.6293e-06;293.17;293.17;293.17;293.17;293.17;293.17;293.17;293.17;293.17
0.95;-4.1175e-06;6.7515e-06;-2.341e-06;-1.578e-06;6.2162e-06;5.9292e-06;293.17;293.17;293.17;293.17;293.17;293.17;293.17;293.17;293.17
1.0;-4.3251e-06;7.0914e-06;-2.4593e-06;-1.658e-06;6.5292e-06;6.2278e-06;293.18;293.18;293.18;293.18;293.18;293.18;293.18;293.18;293.18
1.05;-4.5316e-06;7.4296e-06;-2.5771e-06;-1.7375e-06;6.8405e-06;6.5247e-06;293.18;293.18;293.18;293.18;293.18;293.18;293.18;293.18;293.18
1.1;-4.7371e-06;7.7661e-06;-2.6943e-06;-1.8167e-06;7.1503e-06;6.8203e-06;293.18;293.18;293.18;293.18;293.18;293.18;293.18;293.18;293.18
1.15;-4.9416e-06;8.1008e-06;-2.8109e-06;-1.8956e-06;7.4585e-06;7.1142e-06;293.18;293.18;293.18;293.18;293.18;293.18;293.18;293.18;293.18
1.2;-5.1441e-06;8.4323e-06;-2.9265e-06;-1.9737e-06;7.7638e-06;7.4054e-06;293.18;293.18;293.18;293.18;293.18;293.18;293.18;293.18;293.18
1.25;-5.3458e-06;8.7625e-06;-3.0416e-06;-2.0515e-06;8.0678e-06;7.6954e-06;293.18;293.18;293.18;293.18;293.18;293.18;293.18;293.18;293.18
1.3;-5.5485e-06;9.0941e-06;-3.1572e-06;-2.1297e-06;8.3731e-06;7.9867e-06;293.18;293.18;293.18;293.18;293.18;293.18;293.18;293.18;293.18
1.35;-5.7487e-06;9.4218e-06;-3.2715e-06;-2.207e-06;8.6748e-06;8.2745e-06;293.18;293.18;293.18;293.18;293.18;293.18;293.18;293.18;293.18
1.4;-5.948e-06;9.7479e-06;-3.3853e-06;-2.284e-06;8.9751e-06;8.5609e-06;293.19;293.19;293.19;293.19;293.19;293.19;293.19;293.19;293.19
1.45;-6.1457e-06;1.0071e-05;-3.4981e-06;-2.3604e-06;9.2729e-06;8.845e-06;293.19;293.19;293.19;293.19;293.19;293.19;293.19;293.19;293.19
